Date,EC,
20000103,0,500000
20000104,0,500000
20000105,0,500000
20000106,0,500000
20000107,0,500000
20000110,0,500000
20000111,0,500000
20000112,0,500000
20000113,0,500000
20000114,0,500000
20000118,0,500000
20000119,0,500000
20000120,0,500000
20000121,0,500000
20000124,0,500000
20000125,0,500000
20000126,0,500000
20000127,0,500000
20000128,0,500000
20000131,0,500000
20000201,0,500000
20000202,0,500000
20000203,0,500000
20000204,0,500000
20000207,0,500000
20000208,0,500000
20000209,0,500000
20000210,0,500000
20000211,0,500000
20000214,0,500000
20000215,0,500000
20000216,0,500000
20000217,0,500000
20000218,0,500000
20000222,0,500000
20000223,0,500000
20000224,0,500000
20000225,0,500000
20000228,0,500000
20000229,0,500000
20000301,0,500000
20000302,0,500000
20000303,0,500000
20000306,0,500000
20000307,0,500000
20000308,0,500000
20000309,0,500000
20000310,0,500000
20000313,0,500000
20000314,0,500000
20000315,0,500000
20000316,0,500000
20000317,0,500000
20000320,0,500000
20000321,0,500000
20000322,0,500000
20000323,0,500000
20000324,0,500000
20000327,0,500000
20000328,0,500000
20000329,0,500000
20000330,0,500000
20000331,0,500000
20000403,0,500000
20000404,0,500000
20000405,0,500000
20000406,0,500000
20000407,0,500000
20000410,0,500000
20000411,0,500000
20000412,0,500000
20000413,0,500000
20000414,0,500000
20000417,0,500000
20000418,0,500000
20000419,0,500000
20000420,0,500000
20000424,0,500000
20000425,0,500000
20000426,0,500000
20000427,0,500000
20000428,0,500000
20000501,0,500000
20000502,0,500000
20000503,0,500000
20000504,0,500000
20000505,0,500000
20000508,0,500000
20000509,0,500000
20000510,0,500000
20000511,0,500000
20000512,0,500000
20000515,0,500000
20000516,0,500000
20000517,0,500000
20000518,0,500000
20000519,0,500000
20000522,0,500000
20000523,0,500000
20000524,0,500000
20000525,0,500000
20000526,0,500000
20000530,0,500000
20000531,0,500000
20000601,0,500000
20000602,0,500000
20000605,0,500000
20000606,0,500000
20000607,0,500000
20000608,0,500000
20000609,0,500000
20000612,0,500000
20000613,0,500000
20000614,0,500000
20000615,0,500000
20000616,0,500000
20000619,0,500000
20000620,0,500000
20000621,0,500000
20000622,0,500000
20000623,0,500000
20000626,0,500000
20000627,0,500000
20000628,0,500000
20000629,0,500000
20000630,0,500000
20000703,0,500000
20000705,0,500000
20000706,0,500000
20000707,0,500000
20000710,0,500000
20000711,0,500000
20000712,0,500000
20000713,0,500000
20000714,0,500000
20000717,0,500000
20000718,0,500000
20000719,0,500000
20000720,0,500000
20000721,0,500000
20000724,0,500000
20000725,0,500000
20000726,0,500000
20000727,0,500000
20000728,0,500000
20000731,0,500000
20000801,0,500000
20000802,0,500000
20000803,0,500000
20000804,0,500000
20000807,0,500000
20000808,0,500000
20000809,0,500000
20000810,0,500000
20000811,0,500000
20000814,0,500000
20000815,0,500000
20000816,0,500000
20000817,0,500000
20000818,0,500000
20000821,0,500000
20000822,0,500000
20000823,0,500000
20000824,0,500000
20000825,0,500000
20000828,0,500000
20000829,0,500000
20000830,0,500000
20000831,0,500000
20000901,0,500000
20000905,0,500000
20000906,0,500000
20000907,0,500000
20000908,0,500000
