EC,JY,BP,
20100129,0,0,0,
20100226,0,0,0,
20100331,-2500.0,0,-1150.0,
20100430,175.0,0,-1756.25,
20100528,13012.5,-775.0,3412.5,
20100630,13425.0,3175.0,306.25,
20100730,2600.0,6275.0,-3112.5,
20100831,-2068.75,10162.5,-5312.5,
20100930,-2068.75,11325.0,-2925.0,
20101029,-2068.75,17100.0,-862.5,
20101130,7918.75,9650.0,-3312.5,
20101231,3031.25,5206.25,-3581.25,
20110131,-1093.75,5206.25,-6281.25,
20110228,-2506.25,5206.25,-7787.5,
20110331,-7125.0,156.25,-8868.75,
20110429,-3425.0,-4900.0,-10887.5,
20110531,-15837.5,-4900.0,-12418.75,
20110630,-17231.25,-4900.0,-15618.75,
20110729,-17231.25,-2150.0,-17993.75,
20110831,-17231.25,-2087.5,-16893.75,
20110930,-17231.25,-3112.5,-12775.0,
20111031,-17231.25,-5500.0,-15931.25,
20111130,-17231.25,-6537.5,-13543.75,
20111230,-17231.25,-7950.0,-12612.5,
20120131,-22287.5,-9225.0,-14075.0,
20120229,-21675.0,687.5,-15075.0,
20120330,-21675.0,3900.0,-15743.75,
20120430,-23012.5,-1775.0,-17106.25,
20120531,-27525.0,-4775.0,-11962.5,
20120629,-27525.0,-10293.75,-13868.75,
20120731,-29337.5,-10293.75,-13893.75,
20120831,-32581.25,-10293.75,-15150.0,
20120928,-31918.75,-10293.75,-18112.5,
20121031,-30606.25,-10293.75,-18168.75,
20121130,-30193.75,-8056.25,-18818.75,
20121231,-27756.25,-568.75,-17437.5,
20130131,-23131.25,6993.75,-19831.25,
20130228,-28168.75,8931.25,-15575.0,
20130329,-24968.75,11043.75,-15575.0,
20130430,-29256.25,15731.25,-17831.25,
20130531,-26968.75,19781.25,-15668.75,
20130628,-27456.25,12668.75,-21943.75,
20130731,-31406.25,10268.75,-23981.25,
20130830,-29768.75,10268.75,-23981.25,
20130930,-33937.5,10268.75,-22056.25,
20131031,-35025.0,10268.75,-22862.5,
20131129,-37487.5,10268.75,-20912.5,
20131231,-41362.5,10418.75,-19637.5,
20140131,-41362.5,7018.75,-20450.0,
20140228,-41362.5,4018.75,-23231.25,
20140331,-42550.0,2306.25,-23775.0,
20140430,-41350.0,3593.75,-22406.25,
20140530,-44300.0,4081.25,-23150.0,
20140630,-44525.0,4581.25,-20993.75,
20140731,-40700.0,2631.25,-22362.5,
20140829,-37487.5,1531.25,-21168.75,
20140930,-31100.0,7706.25,-18931.25,
20141031,-29787.5,10356.25,-17643.75,
20141128,-28612.5,16406.25,-15343.75,
20141231,-24387.5,17456.25,-15106.25,
20150130,-14250.0,15393.75,-11875.0,
20150227,-12987.5,17393.75,-14268.75,
20150331,-7400.0,17618.75,-10487.5,
20150430,-13800.0,17218.75,-12068.75,
