Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,500000.0
20000120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,502701.0
20000121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,505657.0
20000124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,502654.0
20000125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,504347.0
20000126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,505082.0
20000127,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,504679.0
20000128,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,505242.0
20000131,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,495166.0
20000201,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,496232.0
20000202,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,496191.0
20000203,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,492043.0
20000204,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,491959.0
20000207,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,489487.0
20000208,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,488774.0
20000209,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,489460.0
20000210,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,488179.0
20000211,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,489915.0
20000214,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,491835.0
20000215,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,490484.0
20000216,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,491692.0
