EC,JY,
20100129,-4186.13,-4570.36,
20100226,-7532.13,-12327.7,
20100331,-9772.12,-10952.7,
20100430,-21842.14,-12834.83,
20100528,-17312.29,-12543.71,
20100630,-14915.17,-16907.89,
20100730,-16621.27,-19806.08,
20100831,-12835.33,-19261.15,
20100930,-9426.57,-24127.64,
20101029,-13758.77,-22342.24,
20101130,-6963.37,-20786.38,
20101231,-14332.86,-22387.88,
20110131,-15754.49,-28175.67,
20110228,-14769.13,-29230.93,
20110331,-14274.49,-29848.99,
20110429,-9365.12,-25098.99,
20110531,-6164.07,-25098.99,
20110630,-5426.31,-24223.99,
20110729,-6924.43,-17149.13,
20110831,-14131.77,-22407.87,
20110930,-11445.24,-28810.2,
20111031,-12094.28,-28706.03,
20111130,-10034.81,-29743.53,
20111230,-7963.97,-28681.03,
20120131,-3576.47,-32695.85,
20120229,-9486.63,-28064.42,
20120330,-12111.63,-31019.37,
20120430,-13800.05,-27490.73,
20120531,-6086.57,-27428.38,
20120629,-9125.43,-28240.88,
20120731,-8085.79,-26930.8,
20120831,-9116.01,-25963.61,
20120928,-2493.59,-29198.31,
20121031,-10806.9,-31133.51,
20121130,-6444.4,-33341.83,
20121231,-7462.03,-25854.33,
20130131,-5608.91,-30138.82,
20130228,-2146.41,-31926.32,
20130329,-6610.26,-29613.82,
20130430,-10964.53,-27702.63,
20130531,-12216.66,-27052.93,
20130628,-6190.26,-17810.42,
20130731,-2115.26,-15548.69,
20130830,-4373.74,-22000.28,
20130930,-2945.11,-20250.28,
20131031,-3357.79,-22373.83,
20131129,-2245.29,-17236.33,
20131231,-1726.98,-22158.05,
20140131,-3816.68,-25777.3,
20140228,-3816.68,-27837.19,
20140331,-2009.18,-31265.72,
20140430,-3173.15,-33432.82,
20140530,-3038.17,-35189.71,
20140630,-6530.87,-34612.36,
20140731,-5330.87,-34785.78,
20140829,-3959.37,-36604.63,
20140930,-554.37,-30429.63,
20141031,780.87,-24704.63,
20141128,-478.74,-20754.63,
20141231,-432.68,-22177.82,
20150130,9704.82,-23995.3,
20150227,7234.83,-22957.1,
20150331,14172.8,-21122.35,
20150430,19571.09,-23677.85,
20150529,14295.16,-21867.07,
20150630,13100.76,-20798.22,
20150731,6277.57,-23981.07,
20150831,1210.96,-22446.53,
20150930,2185.96,-23352.78,
20151030,4218.39,-26290.38,
20151130,9630.89,-25528.36,
20151231,11914.62,-28856.09,
20160129,9433.37,-23981.09,
20160229,15664.62,-23757.3,
20160331,9706.59,-26069.17,
20160429,8571.71,-25189.07,
20160531,10559.21,-26745.32,
20160630,3298.8,-27193.46,
20160729,2123.8,-28934.57,
20160831,483.49,-28353.32,
20160930,-4886.27,-30534.57,
20161031,-886.27,-28227.6,
20161130,4419.95,-27658.69,
20161230,-5018.53,-29017.19,
20170131,-4018.53,-33788.81,
20170228,-5159.54,-35976.31,
20170331,-4787.56,-38267.64,
20170428,-2015.06,-38161.39,
20170531,-120.15,-33773.89,
20170630,-2260.16,-31407.57,
20170731,2658.59,-27900.66,
20170831,3178.22,-34837.07,
20170929,4890.72,-36179.62,
20171031,5890.41,-37764.88,
20171130,7637.37,-38804.29,
20171229,7465.74,-40884.36,
20180131,8242.6,-38382.0,
20180228,4803.17,-40318.69,
20180329,128.17,-47444.38,
20180430,-816.68,-44125.63,
20180531,1345.9,-45011.06,
20180629,-953.44,-45754.81,
20180731,-4059.3,-44273.56,
20180831,-2525.39,-46917.37,
20180928,-5249.1,-46738.9,
20181031,-4267.34,-45482.65,
20181130,-11979.89,-46127.98,
20181231,-13364.84,-47487.09,
20190131,-19657.19,-46018.34,
20190228,-21073.24,-44620.84,
20190329,-25772.41,-48287.94,
20190430,-28433.94,-47512.94,
20190531,-29389.07,-46100.44,
20190628,-30714.95,-47547.54,
20190731,-29447.55,-49229.3,
20190830,-29156.19,-54178.73,
20190930,-34698.57,-53724.92,
20191031,-35923.57,-55888.72,
20191129,-35666.61,-58912.34,
20191231,-36779.62,-61356.92,
20200131,-36598.96,-61589.14,
20200228,-33941.29,-60121.61,
20200331,-29335.04,-56694.77,
20200430,-34000.41,-56526.02,
20200529,-30884.96,-56088.71,
20200630,-28104.96,-55892.41,
20200731,-22720.54,-56185.29,
20200831,-30163.49,-61050.1,
20200930,-31840.15,-61909.8,
20201030,-32963.95,-61622.3,
20201130,-33193.19,-67574.11,
20201231,-32619.55,-66480.36,
20210129,-31281.56,-65192.86,
20210226,-29678.38,-64794.3,
20210331,-27977.17,-61344.27,
20210430,-26721.57,-61458.39,
20210528,-27652.17,-65983.31,
20210630,-23139.67,-66903.75,
20210730,-24722.17,-66981.11,
20210831,-24009.69,-68742.64,
20210930,-21204.14,-70100.47,
20211029,-21060.39,-68035.58,
20211130,-17832.89,-70211.97,
20211231,-19945.02,-70072.48,
20220131,-19742.34,-69016.69,
20220228,-18700.4,-69081.4,
20220331,-17531.65,-64195.73,
