Date,EC,JY,
20100104,1,1,97363.0
20100105,1,1,94888.0
20100106,1,1,94487.0
20100107,1,1,92216.0
20100108,1,1,88804.0
20100111,1,1,87477.0
20100112,1,1,86928.0
20100113,1,1,86590.0
20100114,1,1,86778.0
20100115,1,1,85865.0
20100119,1,1,84531.0
20100120,1,1,86719.0
20100121,1,1,88194.0
20100122,1,1,88494.0
20100125,1,1,87581.0
20100126,1,1,89569.0
20100127,1,1,89669.0
20100128,1,1,90319.0
20100129,1,1,91244.0
20100201,1,1,88694.0
20100202,1,1,88019.0
20100203,1,1,89806.0
20100204,1,1,89634.0
20100205,1,1,89809.0
20100208,1,1,90284.0
20100209,1,1,87609.0
20100210,1,1,88021.0
20100211,1,1,88909.0
20100212,1,1,89409.0
20100216,1,1,87346.0
20100217,1,1,84298.0
20100218,1,1,84365.0
20100219,1,1,82902.0
20100222,1,1,82465.0
20100223,1,1,82202.0
20100224,1,1,81665.0
20100225,1,1,80953.0
20100226,1,1,80140.0
20100301,1,1,80765.0
20100302,1,1,80565.0
20100303,1,1,80376.0
20100304,1,1,77963.0
20100305,1,1,76601.0
20100308,1,1,76776.0
20100309,1,1,76726.0
20100310,1,1,76201.0
20100311,1,1,76326.0
20100312,1,1,77601.0
20100315,1,1,76401.0
20100316,1,1,77126.0
20100317,1,1,76726.0
20100318,1,1,75251.0
20100319,1,1,74775.0
20100322,1,1,73688.0
20100323,1,1,74925.0
20100324,1,1,80138.0
20100325,1,1,81275.0
20100326,1,1,79238.0
20100329,1,1,78238.0
20100330,1,1,79538.0
20100331,1,1,79275.0
20100401,1,1,78837.0
20100405,1,1,78200.0
20100406,1,1,76412.0
20100407,1,1,75037.0
20100408,1,1,73459.0
20100409,1,1,71347.0
20100412,1,1,69497.0
20100413,1,1,69047.0
20100414,1,1,69447.0
20100415,1,1,68709.0
20100416,1,1,69009.0
20100419,1,1,68634.0
20100420,1,1,66659.0
20100421,1,1,66184.0
20100422,1,1,65755.0
20100423,1,1,64261.0
20100426,1,1,64448.0
20100427,1,1,65898.0
20100428,1,1,66448.0
20100429,1,1,66261.0
20100430,1,1,65323.0
20100503,1,1,67598.0
20100504,1,1,70048.0
20100505,1,1,71186.0
20100506,1,1,74877.0
20100507,1,1,71502.0
20100510,1,1,68652.0
20100511,1,1,71039.0
20100512,1,1,70902.0
20100513,1,1,72602.0
20100514,1,1,75077.0
20100517,1,1,74552.0
20100518,1,1,77514.0
20100519,1,1,75614.0
20100520,1,1,77172.0
20100521,1,1,77735.0
20100524,1,1,74810.0
20100525,1,1,70832.0
20100526,1,1,73019.0
20100527,1,1,68894.0
20100528,1,1,70144.0
20100601,1,1,70694.0
20100602,1,1,68644.0
20100603,1,1,69007.0
20100604,1,1,70132.0
20100607,1,1,69969.0
20100608,1,1,70032.0
20100609,1,1,69107.0
20100610,1,1,67432.0
20100611,1,1,67919.0
20100614,1,1,67829.0
20100615,1,1,69104.0
20100616,1,1,68754.0
20100617,1,1,69041.0
20100618,1,1,68704.0
20100621,1,1,68266.0
20100622,1,1,66929.0
20100623,1,1,66664.0
20100624,1,1,67264.0
20100625,1,1,68489.0
20100628,1,1,67052.0
20100629,1,1,68352.0
20100630,1,1,68177.0
20100701,1,1,67656.0
20100702,1,1,67444.0
20100706,1,1,68894.0
20100707,1,1,68744.0
20100708,1,1,68419.0
20100709,1,1,67231.0
20100712,1,1,65651.0
20100713,1,1,67464.0
20100714,1,1,67401.0
20100715,1,1,68101.0
20100716,1,1,68108.0
20100719,1,1,68133.0
20100720,1,1,66021.0
20100721,1,1,65485.0
20100722,1,1,63872.0
20100723,1,1,62835.0
20100726,1,1,62685.0
20100727,1,1,60548.0
20100728,1,1,61248.0
20100729,1,1,63423.0
20100730,1,1,63573.0
20100802,1,1,65185.0
20100803,1,1,66910.0
20100804,1,1,65323.0
20100805,1,1,66385.0
20100806,1,1,68060.0
20100809,1,1,66573.0
20100810,1,1,66860.0
20100811,1,1,67021.0
20100812,1,1,66421.0
20100813,1,1,66934.0
20100816,1,1,67471.0
20100817,1,1,66359.0
20100818,1,1,66834.0
20100819,1,1,67396.0
20100820,1,1,68284.0
20100823,1,1,69846.0
20100824,1,1,72334.0
20100825,1,1,70859.0
20100826,1,1,70334.0
20100827,1,1,68779.0
20100830,1,1,68854.0
20100831,1,1,67904.0
20100901,1,1,65475.0
20100902,1,1,65912.0
20100903,1,1,66650.0
20100907,1,1,64912.0
20100908,1,1,65375.0
20100909,1,1,65250.0
20100910,1,1,63737.0
20100913,1,1,62062.0
20100914,1,1,64033.0
20100915,1,1,62008.0
20100916,1,1,62921.0
20100917,1,1,62671.0
20100920,1,1,62596.0
20100921,1,1,64158.0
20100922,1,1,64896.0
20100923,1,1,63571.0
20100924,1,1,65471.0
20100927,1,1,65058.0
20100928,1,1,65958.0
20100929,1,1,66021.0
20100930,1,1,66446.0
20101001,1,1,68933.0
20101004,1,1,67371.0
20101005,1,1,69571.0
20101006,1,1,71221.0
20101007,1,1,72071.0
20101008,1,1,72746.0
20101011,1,1,72158.0
20101012,1,1,70879.0
20101013,1,1,70291.0
20101014,1,1,70955.0
20101015,1,1,69555.0
20101018,1,1,69430.0
20101019,1,1,68414.0
20101020,1,1,66364.0
20101021,1,1,66414.0
20101022,1,1,65964.0
20101025,1,1,66826.0
20101026,1,1,66466.0
20101027,1,1,68154.0
20101028,1,1,64804.0
20101029,1,1,63899.0
20101101,1,1,64311.0
20101102,1,1,62633.0
20101103,1,1,63045.0
20101104,1,1,64520.0
20101105,1,1,61333.0
20101108,1,1,60145.0
20101109,1,1,58750.0
20101110,1,1,59650.0
20101111,1,1,61488.0
20101112,1,1,61325.0
20101115,1,1,63613.0
20101116,1,1,65163.0
20101117,1,1,64500.0
20101118,1,1,63738.0
20101119,1,1,63475.0
20101122,1,1,63550.0
20101123,1,1,66425.0
20101124,1,1,67600.0
20101126,1,1,69600.0
20101129,1,1,71438.0
20101130,1,1,72250.0
20101201,1,1,71175.0
20101202,1,1,69638.0
20101203,1,1,71950.0
20101206,1,1,70500.0
20101207,1,1,68325.0
20101208,1,1,67350.0
20101209,1,1,67775.0
20101210,1,1,67213.0
20101213,1,1,67149.0
20101214,1,1,67486.0
20101215,1,1,66524.0
20101216,1,1,66249.0
20101217,1,1,65761.0
20101220,1,1,64524.0
20101221,1,1,64911.0
20101222,1,1,64611.0
20101223,1,1,63261.0
20101227,1,1,62511.0
20101228,1,1,63924.0
20101229,1,1,63961.0
20101230,1,1,63349.0
20101231,1,1,63279.0
20110103,1,1,62354.0
20110104,1,1,61042.0
20110105,1,1,57360.0
20110106,1,1,57985.0
20110107,1,1,58847.0
20110110,1,1,57510.0
20110111,1,1,58197.0
20110112,1,1,55772.0
20110113,1,1,53726.0
20110114,1,1,54151.0
20110118,1,1,53514.0
20110119,1,1,53370.0
20110120,1,1,51507.0
20110121,1,1,54257.0
20110124,1,1,54470.0
20110125,1,1,55532.0
20110126,1,1,56057.0
20110127,1,1,54957.0
20110128,1,1,54932.0
20110131,1,1,56070.0
20110201,1,1,59082.0
20110202,1,1,58445.0
20110203,1,1,55842.0
20110204,1,1,55417.0
20110207,1,1,55180.0
20110208,1,1,54567.0
20110209,1,1,53317.0
20110210,1,1,55242.0
20110211,1,1,56217.0
20110214,1,1,56792.0
20110215,1,1,57705.0
20110216,1,1,56480.0
20110217,1,1,55305.0
20110218,1,1,55130.0
20110222,1,1,54055.0
20110223,1,1,54768.0
20110224,1,1,56087.0
20110225,1,1,55375.0
20110228,1,1,56000.0
20110301,1,1,55337.0
20110302,1,1,56537.0
20110303,1,1,56812.0
20110304,1,1,57225.0
20110307,1,1,57062.0
20110308,1,1,55562.0
20110309,1,1,55575.0
20110310,1,1,54888.0
20110311,1,1,51638.0
20110314,1,1,49788.0
20110315,1,1,50946.0
20110316,1,1,51121.0
20110317,1,1,54533.0
20110318,1,1,52658.0
20110321,1,1,53358.0
20110322,1,1,53346.0
20110323,1,1,52483.0
20110324,1,1,53046.0
20110325,1,1,51614.0
20110328,1,1,52427.0
20110329,1,1,53752.0
20110330,1,1,54939.0
20110331,1,1,55877.0
20110401,1,1,58577.0
20110404,1,1,58339.0
20110405,1,1,59739.0
20110406,1,1,62102.0
20110407,1,1,60827.0
20110408,1,1,62352.0
20110411,1,1,61989.0
20110412,1,1,61064.0
20110413,1,1,60689.0
20110414,1,1,60652.0
20110415,1,1,60502.0
20110418,1,1,62077.0
20110419,1,1,61189.0
20110420,1,1,59223.0
20110421,1,1,60611.0
20110425,1,1,61248.0
20110426,1,1,62148.0
20110427,1,1,62348.0
20110428,1,1,64698.0
20110429,1,1,65536.0
20110502,1,1,65523.0
20110503,1,1,65823.0
20110504,1,1,66811.0
20110505,1,1,64437.0
20110506,1,1,66262.0
20110509,1,1,66512.0
20110510,1,1,64249.0
20110511,1,1,66999.0
20110512,1,1,66549.0
20110513,1,1,67899.0
20110516,1,1,66737.0
20110517,1,1,67599.0
20110518,1,1,67862.0
20110519,1,1,66787.0
20110520,1,1,68099.0
20110523,1,1,70537.0
20110524,1,1,69874.0
20110525,1,1,70474.0
20110526,1,1,68349.0
20110527,1,1,68549.0
20110531,1,1,68737.0
20110601,1,1,69662.0
20110602,1,1,71112.0
20110603,1,1,74037.0
20110606,1,1,73987.0
20110607,1,1,75199.0
20110608,1,1,74162.0
20110609,1,1,72549.0
20110610,1,1,70887.0
20110613,1,1,70399.0
20110614,1,1,69174.0
20110615,1,1,72374.0
20110616,1,1,72249.0
20110617,1,1,68862.0
20110620,1,1,69437.0
20110621,1,1,67687.0
20110622,1,1,68587.0
20110623,1,1,71037.0
20110624,1,1,71349.0
20110627,1,1,71049.0
20110628,1,1,69725.0
20110629,1,1,70062.0
20110630,1,1,70350.0
20110701,1,1,71050.0
20110705,1,1,70212.0
20110706,1,1,68512.0
20110707,1,1,66827.0
20110708,1,1,66964.0
20110711,1,1,69664.0
20110712,1,1,71089.0
20110713,1,1,70451.0
20110714,1,1,70264.0
20110715,1,1,70414.0
20110718,1,1,71039.0
20110719,1,1,70151.0
20110720,1,1,69826.0
20110721,1,1,72389.0
20110722,1,1,71864.0
20110725,1,1,72439.0
20110726,1,1,74926.0
20110727,1,1,72776.0
20110728,1,1,72526.0
20110729,1,1,75926.0
20110801,1,1,73451.0
20110802,1,1,72389.0
20110803,1,1,74501.0
20110804,1,1,72951.0
20110805,1,1,70101.0
20110808,1,1,69289.0
20110809,1,1,67839.0
20110810,1,1,66530.0
20110811,1,1,66155.0
20110812,1,1,65930.0
20110815,1,1,64335.0
20110816,1,1,63673.0
20110817,1,1,64948.0
20110818,1,1,63298.0
20110819,1,1,64110.0
20110822,1,1,63398.0
20110823,1,1,64085.0
20110824,1,1,63473.0
20110825,1,1,61635.0
20110826,1,1,64898.0
20110829,1,1,64735.0
20110830,1,1,64535.0
20110831,1,1,63460.0
20110901,1,1,61372.0
20110902,1,1,62609.0
20110906,1,1,63440.0
20110907,1,1,61515.0
20110908,1,1,64328.0
20110909,1,1,67190.0
20110912,1,1,68178.0
20110913,1,1,65478.0
20110914,1,1,64578.0
20110915,1,1,62915.0
20110916,1,1,64528.0
20110919,1,1,64595.0
20110920,1,1,64620.0
20110921,1,1,64257.0
20110922,1,1,67195.0
20110923,1,1,66632.0
20110926,1,1,67095.0
20110927,1,1,64220.0
20110928,1,1,63270.0
20110929,1,1,62670.0
20110930,1,1,59745.0
20111003,1,1,59707.0
20111004,1,1,60057.0
20111005,1,1,58207.0
20111006,1,1,57170.0
20111007,1,1,58070.0
20111010,1,1,55833.0
20111011,1,1,55746.0
20111012,1,1,54823.0
20111013,1,1,55710.0
20111014,1,1,56135.0
20111017,1,1,55298.0
20111018,1,1,55410.0
20111019,1,1,55410.0
20111020,1,1,55573.0
20111021,1,1,58360.0
20111024,1,1,59473.0
20111025,1,1,59510.0
20111026,1,1,58610.0
20111027,1,1,62948.0
20111028,1,1,62723.0
20111031,1,1,59200.0
20111101,1,1,60462.0
20111102,1,1,59350.0
20111103,1,1,58475.0
20111104,1,1,59400.0
20111107,1,1,59225.0
20111108,1,1,57612.0
20111109,1,1,61662.0
20111110,1,1,60737.0
20111111,1,1,57687.0
20111114,1,1,59262.0
20111115,1,1,59950.0
20111116,1,1,60137.0
20111117,1,1,60750.0
20111118,1,1,60175.0
20111121,1,1,60337.0
20111122,1,1,60300.0
20111123,1,1,63300.0
20111125,1,1,65187.0
20111128,1,1,64962.0
20111129,1,1,64487.0
20111130,1,1,60222.0
20111201,1,1,60747.0
20111202,1,1,60609.0
20111205,1,1,59972.0
20111206,1,1,59972.0
20111207,1,1,59709.0
20111208,1,1,58984.0
20111209,1,1,56905.0
20111212,1,1,59855.0
20111213,1,1,61855.0
20111214,1,1,62780.0
20111215,1,1,62043.0
20111216,1,1,61855.0
20111219,1,1,62168.0
20111220,1,1,61330.0
20111221,1,1,62093.0
20111222,1,1,62280.0
20111223,1,1,61855.0
20111227,1,1,61318.0
20111228,1,1,63118.0
20111229,1,1,62630.0
20111230,1,1,63355.0
20120103,1,1,62605.0
20120104,1,1,63930.0
20120105,1,1,64918.0
20120106,1,1,66030.0
20120109,1,1,65930.0
20120110,1,1,65643.0
