TY,FV,US,
20000131,232.12,494.4,219.55,
20000229,-666.84,-572.65,219.55,
20000331,-628.88,-572.65,907.72,
20000428,-2994.12,-1262.71,544.86,
20000531,-2994.12,-1262.71,544.86,
20000630,-2994.12,-1262.71,544.86,
20000731,-2994.12,-1262.71,544.86,
20000831,-2994.12,-1262.71,544.86,
20000929,-4409.03,-1262.71,544.86,
20001031,-4559.33,-1475.71,-674.36,
20001130,-3168.78,-891.37,343.55,
20001229,-1317.76,391.71,1631.67,
20010131,-1497.41,341.71,1094.04,
20010228,-1497.41,341.71,1094.04,
20010330,-3071.08,-358.14,-893.6,
20010430,-2798.56,-1843.18,1179.36,
20010531,-3307.03,-2311.93,661.19,
20010629,-4388.28,-2983.87,-670.06,
20010731,-4315.08,-3020.74,-569.4,
20010831,-3833.83,-3312.63,329.36,
20010928,-2555.26,-1717.46,329.36,
20011031,-1725.0,-1600.44,4108.51,
20011130,-2858.72,-2432.4,3964.76,
20011231,-3437.82,-3489.74,4140.32,
20020131,-3437.82,-3713.53,4140.32,
20020228,-3437.82,-3713.53,4140.32,
20020328,-2798.6,-3115.27,4679.35,
20020430,-3453.54,-3602.77,3729.35,
20020531,-3453.54,-3602.77,3729.35,
20020628,-3720.03,-3855.41,2463.98,
20020731,-240.75,-753.65,3452.6,
20020830,-125.37,-147.4,7817.33,
20020930,2590.25,-147.4,9684.32,
20021031,2590.25,-147.4,8219.03,
20021129,2262.13,-459.9,8219.03,
20021231,644.96,-1585.03,4443.47,
20030131,644.96,-1585.03,4443.47,
20030228,486.02,-1961.33,5359.15,
20030331,894.26,-2130.36,4804.86,
20030430,894.26,-2130.36,4804.86,
20030530,2197.09,-857.98,8121.63,
20030630,1964.41,-1123.04,7977.88,
20030731,3718.81,-520.49,10912.63,
20030829,2337.22,-439.17,9466.72,
20030930,1076.84,-1945.65,9466.72,
20031031,1076.84,-1945.65,9466.72,
20031128,1076.84,-1945.65,6898.29,
20031231,1076.84,-3329.64,6898.29,
20040130,289.19,-4432.63,6107.77,
20040227,-737.88,-5794.6,5383.18,
20040331,-1593.34,-5794.6,4362.92,
20040430,-680.68,-4700.85,5353.58,
20040528,545.45,-3797.73,7357.54,
20040630,545.45,-4024.33,7357.54,
20040730,545.45,-4024.33,7357.54,
20040831,738.4,-4361.58,8834.78,
20040930,-450.37,-4915.09,9941.03,
20041029,-450.37,-4915.09,7565.68,
20041130,223.92,-3874.26,7565.68,
20041231,-1580.53,-5064.89,5119.11,
20050131,-2891.69,-6134.88,5292.91,
20050228,-2753.04,-5713.0,6055.41,
20050331,-3230.67,-4923.14,4256.44,
20050429,-3614.29,-4923.14,3160.44,
20050531,-3614.29,-4923.14,3160.44,
20050630,-4625.22,-4923.14,2334.78,
20050729,-4625.22,-4837.08,2334.78,
20050831,-5743.68,-5097.63,2334.78,
20050930,-5743.68,-5097.63,2011.5,
20051031,-5322.81,-4300.77,4449.0,
20051130,-5461.76,-5059.46,3020.72,
20051230,-5461.76,-5059.46,3020.72,
20060131,-5461.76,-5059.46,3020.72,
20060228,-5697.48,-4755.78,3020.72,
20060331,-4873.94,-5146.45,4787.45,
20060428,-4061.44,-4906.83,6206.2,
20060531,-4183.57,-4906.83,6282.79,
20060630,-4863.84,-5009.01,6282.79,
20060731,-4878.84,-5059.01,6282.79,
20060831,-3811.03,-4455.3,8868.68,
20060929,-4110.9,-4652.5,9878.86,
20061031,-4698.69,-5052.79,9797.61,
20061130,-4346.29,-4864.09,10155.34,
20061229,-5193.17,-5358.7,8859.18,
20070131,-5401.52,-5336.03,8577.39,
20070228,-5983.96,-5750.28,7646.85,
20070330,-5983.96,-6468.57,7646.85,
20070430,-5983.96,-6468.57,7646.85,
20070531,-5738.91,-6412.08,8018.17,
20070629,-5122.89,-6040.21,9280.67,
20070731,-5424.45,-6282.36,9247.96,
20070831,-5398.24,-5915.45,9247.96,
20070928,-4932.62,-5859.18,8694.42,
20071031,-4932.62,-5859.18,8694.42,
20071130,-3632.88,-4868.24,11344.41,
20071231,-5119.46,-5863.82,11519.46,
20080131,-4320.07,-5101.78,11346.13,
20080229,-4930.09,-5008.09,11346.13,
20080331,-4931.35,-6166.13,11346.13,
20080430,-6637.6,-7765.01,10143.2,
20080530,-6280.33,-6941.92,10786.88,
20080630,-6549.08,-8273.7,10346.26,
20080731,-6549.08,-8273.7,10346.26,
20080829,-8049.48,-8273.7,9406.92,
20080930,-11102.48,-11203.51,12591.29,
20081031,-14153.44,-10180.07,1728.33,
20081128,-11560.94,-7214.44,2642.61,
20081231,-7064.06,-5707.88,11558.08,
20090130,-9265.16,-5707.88,7671.32,
20090227,-9265.16,-5707.88,7671.32,
20090331,-9265.16,-7595.46,7671.32,
20090430,-9265.16,-7595.46,6944.8,
20090529,-6533.05,-6674.53,9088.5,
20090630,-6016.38,-6187.47,11433.39,
20090731,-6016.38,-6187.47,11433.39,
20090831,-6016.38,-6187.47,11433.39,
20090930,-6016.38,-6187.47,11433.39,
20091030,-7471.61,-7245.52,8669.51,
20091130,-7185.14,-7278.41,8701.61,
20091231,-6747.99,-6821.85,8384.86,
20100129,-7619.94,-7614.04,7901.61,
20100226,-7619.94,-7614.04,7901.61,
