Date,CL,NG,HO,
20100104,0,0,0,500000
20100105,0,0,0,500000
20100106,0,0,0,500000
20100107,0,0,0,500000
20100108,0,0,0,500000
20100111,0,0,0,500000
20100112,0,0,0,500000
20100113,0,0,0,500000
20100114,0,0,0,500000
20100115,0,0,0,500000
20100119,0,0,0,500000
20100120,0,0,0,500000
20100121,0,0,0,500000
20100122,0,0,0,500000
20100125,0,0,0,500000
20100126,0,0,0,500000
20100127,0,0,0,500000
20100128,0,0,0,500000
20100129,0,0,0,500000
20100201,0,0,0,500000
20100202,0,0,0,500000
20100203,0,0,0,500000
20100204,0,0,0,500000
20100205,1,0,1,501823.0
20100208,1,0,1,500674.0
20100209,1,0,1,496638.0
20100210,1,0,1,495465.0
20100211,1,0,1,494029.0
20100212,1,0,1,497031.0
20100216,1,0,1,490900.0
20100217,0,0,1,489811.0
20100218,0,0,0,488654.0
20100219,0,0,0,488654.0
20100222,0,0,0,488654.0
20100223,0,0,0,488654.0
20100224,0,0,0,488654.0
20100225,0,0,0,488654.0
20100226,0,0,0,488654.0
20100301,0,0,0,488654.0
20100302,0,0,0,488654.0
20100303,0,0,0,488654.0
20100304,0,0,0,488654.0
20100305,0,0,0,488654.0
20100308,0,0,0,488654.0
20100309,0,0,0,488654.0
20100310,0,0,0,488654.0
20100311,0,0,0,488654.0
20100312,0,0,0,488654.0
20100315,0,1,0,488114.0
20100316,0,1,0,488554.0
20100317,0,1,0,488994.0
20100318,0,1,0,491174.0
20100319,0,1,0,490334.0
20100322,0,1,0,491234.0
20100323,0,1,0,490724.0
20100324,0,1,0,490974.0
20100325,0,1,0,492214.0
20100326,0,1,0,493204.0
20100329,0,1,0,493344.0
20100330,0,1,0,492774.0
20100331,0,1,0,493814.0
20100401,0,0,1,490791.0
20100405,1,0,1,493874.0
20100406,1,0,1,494128.0
20100407,1,0,1,492143.0
20100408,1,0,1,490993.0
20100409,1,0,1,490431.0
20100412,1,0,1,489553.0
20100413,1,0,1,489065.0
20100414,1,0,1,492027.0
20100415,1,0,1,492126.0
20100416,0,0,1,487649.0
20100419,0,0,0,485279.0
20100420,0,0,0,485279.0
20100421,0,0,0,485279.0
20100422,0,0,0,485279.0
20100423,0,0,0,485279.0
20100426,0,0,0,485279.0
20100427,0,0,0,485279.0
20100428,0,0,0,485279.0
20100429,0,0,0,485279.0
20100430,0,0,0,485279.0
20100503,0,0,1,485661.0
20100504,0,0,1,482065.0
20100505,0,0,0,480325.0
20100506,1,0,0,478064.0
20100507,1,0,0,480064.0
20100510,1,0,0,478374.0
20100511,1,0,0,478804.0
20100512,1,0,0,479524.0
20100513,1,0,0,480774.0
20100514,1,0,0,483564.0
20100517,1,0,0,485094.0
20100518,1,0,0,485764.0
20100519,1,0,0,485984.0
20100520,1,0,1,488462.0
20100521,1,0,1,489440.0
20100524,1,0,1,489161.0
20100525,1,0,1,491780.0
20100526,1,0,1,486962.0
20100527,0,0,1,481306.0
20100528,0,0,1,481524.0
20100601,1,0,1,482363.0
20100602,1,0,1,480592.0
20100603,1,0,1,477447.0
20100604,1,0,0,480077.0
20100607,1,0,0,480147.0
20100608,1,0,0,479597.0
