TY,FV,US,ES,NQ,EM,
20100129,-1760.54,0,-2529.07,-476.94,0,0,
20100226,-1760.54,-1251.16,-2529.07,-3389.02,0,0,
20100331,-1760.54,-1251.16,-2529.07,-2259.2,0,0,
20100430,-1801.52,-1251.16,-1981.61,-1973.66,0,0,
20100528,776.17,-465.82,2505.69,-4098.66,470.0,0,
20100630,3448.04,1213.86,7349.44,-4368.3,470.0,0,
20100730,3175.44,1075.93,6889.65,-6518.3,470.0,0,
20100831,2755.35,582.66,9616.7,-6518.3,470.0,0,
20100930,2755.35,582.66,5624.48,-6382.18,1764.66,0,
20101029,1733.7,-204.38,5624.48,-5199.61,3738.16,0,
20101130,1733.7,-1411.95,2908.97,-4849.61,4533.16,0,
20101231,2523.79,-877.68,6797.22,-4849.61,4533.16,0,
20110131,1611.11,-877.68,8297.22,-4963.46,3652.08,0,
20110228,1611.11,-877.68,9468.31,-5373.19,3181.51,0,
20110331,1611.11,-2511.61,9468.31,-5373.19,3181.51,0,
20110429,1783.55,-2302.36,9547.55,-4673.29,3278.99,0,
20110531,4208.89,-964.25,12171.29,-8201.57,2644.21,0,
20110630,3444.62,-1316.84,9643.51,-9517.41,2125.24,0,
20110729,3444.62,-1316.84,9643.51,-9517.41,2125.24,0,
20110831,6130.72,-299.85,18841.98,-9437.77,93.08,0,
20110930,7330.72,-299.85,24562.73,-13611.91,-305.77,0,
20111031,7330.72,-299.85,24562.73,-18437.15,-4748.28,0,
20111130,7330.72,-299.85,24562.73,-18437.15,-4748.28,0,
20111230,7324.55,-991.24,23602.22,-18437.15,-4748.28,0,
20120131,6755.84,-823.62,20888.68,-19457.12,-4095.48,0,
20120229,5191.07,-1412.47,20888.68,-17079.62,-1916.79,0,
20120330,4614.86,-1647.52,21407.14,-17079.62,-1773.63,0,
20120430,4614.86,-1647.52,17322.0,-17079.62,-1795.83,0,
20120531,6623.2,-1647.52,22677.74,-17273.37,-1795.83,0,
20120629,6338.82,-2399.9,19812.39,-18298.37,-3915.35,0,
20120731,6338.82,-2882.61,23337.66,-18298.37,-3915.35,0,
20120831,6338.82,-2750.88,23337.66,-18768.16,-3764.86,0,
20120928,6338.82,-3447.18,21311.11,-19064.42,-3985.89,0,
20121031,6338.82,-3447.18,21311.11,-19064.42,-3985.89,0,
20121130,6286.9,-3447.18,20184.09,-21660.38,-4769.19,0,
20121231,5592.03,-3447.18,18959.6,-21660.38,-4769.19,0,
20130131,4407.89,-4100.31,19738.01,-20742.89,-4769.19,0,
20130228,3858.7,-4458.68,19500.51,-21548.04,-4769.19,0,
20130329,3858.7,-4458.68,19500.51,-21548.04,-4769.19,0,
20130430,4819.82,-4104.46,20786.78,-21548.04,-5810.95,0,
20130531,3847.58,-4121.34,19745.78,-21923.04,-4082.93,0,
20130628,6503.83,-3338.2,22310.25,-22364.4,-5097.93,0,
20130731,5641.99,-3382.15,23291.5,-22283.15,-4789.95,0,
20130830,5641.99,-3382.15,23291.5,-21912.22,-4565.05,0,
20130930,5641.99,-4335.3,23291.5,-24115.45,-4514.33,0,
20131031,5889.41,-4092.07,22867.65,-22948.12,-3100.91,0,
20131129,5151.91,-4889.64,21587.32,-21207.77,-3554.88,0,
20131231,5151.91,-5663.61,21587.32,-21838.12,-4332.81,0,
20140131,5151.91,-6443.12,21587.32,-21838.12,-5919.39,0,
20140228,5151.91,-6443.12,22055.7,-22126.9,-4944.21,0,
20140331,3685.15,-6443.12,19819.67,-22966.25,-5184.21,0,
20140430,3685.15,-6443.12,18570.43,-22966.25,-8278.15,0,
20140530,4826.44,-6106.65,20996.09,-22922.55,-8278.15,0,
20140630,4057.69,-6562.9,19966.67,-21797.55,-6586.43,0,
20140731,4057.69,-6562.9,18450.6,-21783.92,-6096.4,0,
20140829,4470.73,-6647.78,20966.66,-21783.92,-6096.4,0,
20140930,3863.52,-7748.85,19385.41,-23901.02,-6096.4,-28804.47,
20141031,4115.13,-7273.06,19951.7,-25388.67,-9983.29,-58425.57,
20141128,5427.63,-6484.0,22920.45,-24755.85,-6228.29,-8325.57,
20141231,2565.23,-7260.43,24317.01,-26205.85,-6988.29,-49226.03,
20150130,5197.29,-6513.43,29332.58,-26205.85,-6988.29,-49226.03,
20150227,2007.74,-8015.96,27595.32,-26275.41,-5691.83,-53076.1,
20150331,2007.74,-8015.96,27595.32,-27819.88,-6086.32,-71455.77,
20150430,2007.74,-8772.55,27595.32,-27819.88,-8832.28,-71455.77,
20150529,-38.63,-8772.55,31244.42,-27819.88,-8832.28,-71455.77,
20150630,-738.67,-8772.55,30094.91,-27819.88,-8832.28,-73789.65,
20150731,-738.67,-8772.55,30094.91,-31438.71,-8672.11,-122373.87,
20150831,-2008.0,-9053.15,25515.86,-27142.37,-7824.38,-31619.57,
20150930,-1328.8,-8602.57,25515.86,-25203.4,-9035.11,-17662.63,
20151030,-2842.35,-9265.45,21195.27,-27665.9,-12500.11,-50399.1,
20151130,-2842.35,-9892.53,21195.27,-27665.9,-12500.11,-50399.1,
20151231,-2842.35,-10324.18,21195.27,-27665.9,-12500.11,-50399.1,
20160129,-2246.56,-10297.58,23791.13,-30094.49,-14754.61,-84599.37,
20160229,-1249.39,-10347.32,28076.4,-29700.39,-17604.55,-164534.23,
20160331,-2611.89,-11116.07,25620.15,-29700.39,-17604.55,-164534.23,
20160429,-2611.89,-11116.07,25620.15,-29700.39,-17604.55,-164534.23,
20160531,-2611.89,-11116.07,25620.15,-29700.39,-17604.55,-164534.23,
20160630,-1876.91,-10926.05,30796.59,-29700.39,-20710.38,-164534.23,
20160729,-3051.91,-11074.48,29809.09,-26972.54,-19816.38,-135251.28,
20160831,-3051.91,-11756.7,29809.09,-27957.71,-18471.38,-135251.28,
20160930,-3051.91,-11756.7,29809.09,-27957.71,-18471.38,-135251.28,
20161031,-3688.24,-12307.87,29413.8,-28285.18,-18471.38,-135251.28,
20161130,-1510.14,-12025.77,37738.24,-29443.94,-23145.04,-252722.57,
20161230,-1132.53,-11736.92,38880.36,-26306.44,-27839.57,-173572.57,
20170131,-1132.53,-11736.92,38880.36,-26306.44,-25583.34,-173572.57,
20170228,-1132.53,-11736.92,38880.36,-26345.07,-21578.34,-173572.57,
20170331,-1132.53,-12658.6,36616.58,-26595.47,-21361.34,-205022.22,
20170428,-773.59,-12545.08,35878.63,-26595.47,-21361.34,-205022.22,
20170531,-505.53,-12523.58,35878.63,-26595.47,-20502.97,-205022.22,
20170630,-258.65,-12686.57,36669.91,-26249.65,-20803.93,-201688.27,
20170731,-258.65,-12686.57,36669.91,-26331.34,-20803.93,-147488.27,
20170831,-328.04,-12545.36,36417.62,-26672.36,-20934.54,-135638.27,
20170929,-799.92,-12633.46,35336.37,-25359.86,-23048.04,-122503.4,
20171031,-1031.17,-12665.72,35336.37,-24653.65,-21080.05,-26141.04,
20171130,-1409.29,-12665.72,35336.37,-24337.56,-19799.1,-3056.28,
20171229,-2006.96,-12598.43,35336.37,-22977.03,-24342.59,41743.72,
20180131,461.79,-11304.68,37750.78,-16875.48,-17633.59,200043.99,
20180228,1512.71,-11432.81,39074.33,-16875.48,-24426.01,200043.99,
20180329,899.96,-11928.12,38565.34,-19128.74,-24098.29,151160.76,
20180430,899.96,-12207.95,38565.34,-20978.74,-24098.29,121532.22,
20180531,-179.02,-13284.07,35783.78,-20978.74,-24098.29,121532.22,
20180629,-1411.77,-14095.54,35658.78,-20978.74,-24326.63,121532.22,
20180731,-1411.77,-14095.54,34733.78,-21680.94,-24326.63,119737.95,
20180831,-1411.77,-14095.54,34733.78,-20730.94,-23426.8,120835.48,
20180928,-1259.35,-13912.36,35324.73,-23507.11,-27536.6,109525.89,
20181031,-1653.06,-13981.03,36712.23,-23718.56,-24797.65,37514.6,
20181130,-1653.06,-13981.03,35808.71,-28693.18,-24300.8,-109230.42,
20181231,-186.92,-12885.62,37404.19,-23253.38,-19708.78,-20201.08,
20190131,33.61,-12882.82,36950.25,-31849.29,-20628.78,-147312.74,
20190228,-810.85,-13328.39,36950.25,-31849.29,-20628.78,-147312.74,
20190329,-373.71,-13121.45,38028.64,-31849.29,-21673.54,-147312.74,
20190430,-1220.58,-13569.89,35666.14,-31849.29,-14127.54,-147312.74,
20190531,741.85,-12330.85,40536.29,-31849.29,-14127.54,-119085.56,
20190628,1238.72,-11615.22,42017.54,-31849.29,-14127.54,-234653.25,
20190731,321.3,-11825.47,41286.04,-30869.83,-14127.54,-178960.35,
20190830,1874.06,-11287.95,48045.2,-30869.83,-14127.54,-296443.31,
20190930,1540.67,-11485.53,47591.45,-30869.83,-14127.54,-296443.31,
20191031,1540.67,-12700.85,47591.45,-30869.83,-14455.73,-296443.31,
20191129,1540.67,-12700.85,47591.45,-27757.33,-10453.46,-256689.61,
20191231,1131.41,-13151.34,47591.45,-26664.12,-11256.64,-279954.14,
20200131,271.0,-13411.6,48646.81,-31640.36,-9530.79,-330704.37,
20200228,2685.73,-11892.11,56365.56,-28114.72,-7052.35,-160186.76,
20200331,3139.64,-11004.61,63815.56,-10218.18,-10570.34,223166.55,
20200430,3162.95,-10879.61,65319.92,-24293.18,-33090.34,-11783.45,
20200529,3162.95,-10567.11,65319.92,-24293.18,-33090.34,-11783.45,
20200630,3162.95,-10860.34,65319.92,-24293.18,-33090.34,-11783.45,
20200731,3469.71,-10752.03,65828.15,-24293.18,-35501.56,-11783.45,
20200831,3009.63,-11044.11,64137.62,-22948.72,-11031.56,36306.19,
20200930,3009.63,-11044.11,64137.62,-26638.55,-12897.13,-6007.82,
20201030,3487.66,-10985.27,64029.79,-26638.55,-26342.95,-6007.82,
20201130,2552.42,-11425.57,58890.45,-27226.05,-25444.06,57669.51,
20201231,2717.83,-11404.09,59701.17,-26272.66,-13259.06,74455.81,
20210129,2641.14,-11641.67,60105.25,-26272.66,-19663.42,74455.81,
20210226,5372.36,-10419.87,67413.46,-26272.66,-22746.3,74455.81,
20210331,6900.49,-10164.28,72106.46,-26272.66,-22746.3,134941.73,
20210430,5799.22,-10660.21,70291.36,-19844.19,-22106.36,221491.73,
20210528,5799.22,-10660.21,70291.36,-22315.86,-22761.36,134505.97,
20210630,4291.04,-11925.1,70412.19,-22315.86,-21425.23,134505.97,
20210730,6244.17,-12083.15,73865.24,-27673.79,-18279.02,114671.96,
20210831,6283.27,-12312.84,72028.9,-27111.44,-19099.02,116250.42,
20210930,5908.87,-12292.85,72028.9,-30132.04,-19099.02,105553.3,
20211029,6091.52,-11457.4,69668.33,-27155.75,-16263.45,23051.35,
20211130,3027.93,-12776.57,69668.33,-27341.31,-14208.65,-34475.89,
20211231,3027.93,-12776.57,65974.65,-27341.31,-14208.65,-34475.89,
20220131,3300.97,-12324.25,65338.33,-36228.81,-20611.76,-238487.55,
20220228,4437.12,-11851.36,64717.05,-36735.26,-22865.47,-244557.81,
20220331,6765.48,-10049.3,65665.74,-44555.39,-37767.95,-393970.07,
20220429,-35103.01,-393970.07,
20220531,0,0,0,0,-47833.96,-332298.15,
20220630,0,0,0,0,-59628.2,-360166.53,
20220729,0,0,0,0,-59628.2,-360166.53,
20220831,0,0,0,0,-74806.52,-476651.71,
20220930,0,0,0,0,-74806.52,-376196.19,
20221031,0,0,0,0,-82587.18,-779097.42,
20221130,0,0,0,0,-82587.18,-779097.42,
20221230,0,0,0,0,-82587.18,-779097.42,
20230131,0,0,0,0,-84226.82,-779097.42,
20230228,0,0,0,0,-82001.82,-781631.54,
20230331,0,0,0,0,-77476.54,-857403.31,
20230428,0,0,0,0,-83816.87,-869054.73,
20230531,0,0,0,0,-70790.78,-869054.73,
20230630,0,0,0,0,-67946.33,-885024.35,
20230731,0,0,0,0,-71976.73,-873526.54,
20230831,0,0,0,0,-71976.73,-1002337.55,
20230929,0,0,0,0,-73967.36,-982021.71,
20231031,0,0,0,0,-76431.53,-997163.44,
20231130,0,0,0,0,-87812.34,-1060025.93,
20231229,0,0,0,0,-81974.46,-900858.68,
20240131,0,0,0,0,-92002.08,-926077.44,
20240229,0,0,0,0,-83084.95,-926077.44,
20240328,0,0,0,0,-83084.95,-940020.07,
20240430,0,0,0,0,-1044840.39,
20240503,0,0,0,0,0,-1128740.39,
