Date,TY,FV,US,ES,NQ,EM,
20100104,1,0,1,0,0,0,499508.0
20100105,1,0,1,0,0,0,497899.0
20100106,1,0,1,1,0,0,498747.0
20100107,1,0,1,1,0,0,499129.0
20100108,1,0,1,1,0,0,498954.0
20100111,1,0,1,1,0,0,499285.0
20100112,1,0,1,1,0,0,496516.0
20100113,1,0,1,1,0,0,498126.0
20100114,0,0,1,1,0,0,496966.0
20100115,0,0,0,1,0,0,495568.0
20100119,0,0,0,1,0,0,496243.0
20100120,0,0,0,0,0,0,495233.0
20100121,0,0,0,0,0,0,495233.0
20100122,0,0,0,0,0,0,495233.0
20100125,0,0,0,0,0,0,495233.0
20100126,0,0,0,0,0,0,495233.0
20100127,0,0,0,0,0,0,495233.0
20100128,0,0,0,0,0,0,495233.0
20100129,0,0,0,0,0,0,495233.0
20100201,0,0,0,0,0,0,495233.0
20100202,0,0,0,0,0,0,495233.0
20100203,0,0,0,0,0,0,495233.0
20100204,0,0,0,0,0,0,495233.0
20100205,0,1,0,1,0,0,494203.0
20100208,0,1,0,1,0,0,494180.0
20100209,0,1,0,1,0,0,493488.0
20100210,0,1,0,1,0,0,493372.0
20100211,0,1,0,1,0,0,492694.0
20100212,0,1,0,1,0,0,492772.0
20100216,0,1,0,1,0,0,492239.0
20100217,0,1,0,0,0,0,491514.0
20100218,0,0,0,0,0,0,491070.0
20100219,0,0,0,0,0,0,491070.0
20100222,0,0,0,0,0,0,491070.0
20100223,0,0,0,0,0,0,491070.0
20100224,0,0,0,0,0,0,491070.0
20100225,0,0,0,0,0,0,491070.0
20100226,0,0,0,0,0,0,491070.0
20100301,0,0,0,0,0,0,491070.0
20100302,0,0,0,0,0,0,491070.0
20100303,0,0,0,0,0,0,491070.0
20100304,0,0,0,0,0,0,491070.0
20100305,0,0,0,0,0,0,491070.0
20100308,0,0,0,0,0,0,491070.0
20100309,0,0,0,0,0,0,491070.0
20100310,0,0,0,1,0,0,490988.0
20100311,0,0,0,1,0,0,491238.0
20100312,0,0,0,1,0,0,491263.0
20100315,0,0,0,1,0,0,491225.0
20100316,0,0,0,1,0,0,491675.0
20100317,0,0,0,1,0,0,491988.0
20100318,0,0,0,1,0,0,492000.0
20100319,0,0,0,1,0,0,491750.0
20100322,0,0,0,1,0,0,492038.0
