EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,2362.5,637.5,0,875.0,1000.0,-1550.55,0,-5670.0,0,-1550.0,0,-1268.0,0,-50150.0,0,687.5,-28.0,0,44.8,0,1805.0,
20000229,-1550.0,3987.5,-1550.0,-736.95,765.62,-3131.4,-975.0,-9850.0,0,-3850.0,-1550.0,-1268.0,-2070.0,-48900.0,-180100.0,225.0,-118.5,-937.5,526.4,2887.5,2140.0,
20000331,-1550.0,-1225.0,-2350.0,-678.42,450.0,-1693.9,337.5,-16450.0,0,-3850.0,-300.0,-2821.6,-1540.0,-55200.0,-181675.0,75.0,-139.0,-1437.5,644.4,43.75,2160.0,
20000428,3325.0,-2925.0,-2350.0,-1213.9,318.35,-2586.3,-2412.5,-18005.0,0,-2690.0,-790.0,-5928.8,-2590.0,-112800.0,-181675.0,-425.0,-152.0,-1475.0,1473.2,-118.75,2160.0,
20000531,1206.25,-3912.5,1100.0,-1997.1,302.73,-3481.05,-2412.5,-21075.0,0,-5270.0,11360.0,-7482.4,-3810.0,-136962.5,-181675.0,-687.5,-160.0,-1675.0,2492.4,-118.75,2055.0,
20000630,-343.75,-5900.0,-887.5,-1997.1,20.49,-3481.05,-3962.5,-22625.0,0,-1780.0,12560.0,-6692.8,-3520.0,-136962.5,-181675.0,775.0,-254.0,-1975.0,3215.2,1137.5,-1615.0,
20000731,-1900.0,-6325.0,-887.5,-3095.2,207.99,-5031.05,-5887.5,-26355.0,0,-2600.0,8710.0,-8624.4,-4480.0,-152012.5,-181675.0,1550.0,-245.5,-1387.5,3797.6,4468.75,-1615.0,
20000831,1587.5,-9393.75,375.0,-3036.57,436.09,-3999.8,-6775.0,-26385.0,0,-5180.0,4740.0,-2240.4,-4750.0,-153262.5,-206825.0,2212.5,-304.0,-1475.0,3976.8,3443.75,-1040.0,
20000929,2125.0,-9793.75,450.0,-3414.7,873.59,-5267.7,-8187.5,-27935.0,0,-5710.0,6750.0,-4810.4,-5310.0,-118575.0,-208400.0,1687.5,-389.0,-2300.0,4061.2,3443.75,-1495.0,
20001031,568.75,-11350.0,450.0,-3591.1,901.59,-7130.35,-8000.0,-26595.0,0,-5710.0,5310.0,-7653.4,-5670.0,-188025.0,-182050.0,1837.5,-369.0,-2950.0,2404.4,3562.5,-3020.0,
20001130,568.75,-9637.5,-637.5,-3091.1,901.59,-6210.5,-9562.5,-29250.0,0,-7050.0,230.0,-10760.6,-6070.0,-204375.0,-172050.0,1812.5,-525.5,-2950.0,954.4,3793.75,-3970.0,
