Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,0,0,0,500000
20100105,0,0,0,0,0,0,0,1,0,0,500157.0
20100106,0,0,0,0,0,0,0,1,0,0,501019.0
20100107,0,0,0,0,0,0,0,1,0,0,500560.0
20100108,0,0,0,0,0,0,0,1,0,0,500034.0
20100111,0,0,0,0,0,0,0,1,0,0,499160.0
20100112,0,0,0,0,0,0,0,1,0,0,499843.0
20100113,0,0,0,0,0,0,0,1,0,0,500605.0
20100114,0,0,0,0,0,0,1,1,0,0,500471.0
20100115,0,0,0,0,0,0,1,1,0,0,500454.0
20100119,0,0,0,0,0,0,1,1,0,0,502328.0
20100120,0,0,0,0,0,0,1,1,0,0,502523.0
20100121,0,1,0,0,0,1,1,1,0,0,502561.0
20100122,0,1,0,0,0,1,1,1,0,0,501304.0
20100125,0,1,0,0,0,1,1,1,0,0,502134.0
20100126,0,1,0,0,0,1,0,1,0,0,501736.0
20100127,0,1,0,0,0,1,0,1,0,0,502208.0
20100128,0,1,0,0,0,1,0,1,0,0,503425.0
20100129,0,1,0,1,0,1,0,1,1,0,507408.0
20100201,0,1,0,1,0,1,0,1,0,0,503762.0
20100202,0,1,0,1,0,1,0,1,0,0,501759.0
20100203,0,1,0,1,0,1,0,1,0,0,503360.0
20100204,0,1,0,1,0,1,0,1,0,0,504713.0
20100205,0,1,1,1,0,1,0,0,1,0,508202.0
20100208,0,1,1,1,0,1,0,0,1,0,504580.0
20100209,0,1,0,1,0,1,0,0,1,0,499787.0
20100210,0,1,0,1,0,1,0,0,0,0,498292.0
20100211,0,1,0,1,0,1,0,0,0,0,498648.0
20100212,0,1,0,1,0,1,0,0,0,0,499179.0
20100216,0,1,0,1,0,1,0,0,0,0,495998.0
20100217,0,1,0,1,0,1,0,0,0,0,498923.0
20100218,0,1,0,1,0,1,0,0,0,0,499442.0
20100219,0,1,0,1,0,1,0,0,0,0,498310.0
20100222,0,1,0,1,0,1,0,0,0,0,499542.0
20100223,0,1,0,1,0,1,0,0,0,0,500985.0
20100224,0,1,0,1,0,1,0,0,0,0,500210.0
20100225,0,1,0,1,0,1,0,0,0,0,501917.0
20100226,0,1,0,1,0,1,0,0,0,0,499817.0
20100301,0,1,0,1,0,1,0,0,0,0,500435.0
20100302,0,1,0,1,1,1,0,0,0,0,499329.0
20100303,0,1,0,1,1,1,0,0,0,0,497889.0
20100304,0,1,0,1,1,1,0,0,0,0,502959.0
20100305,0,1,0,1,1,1,0,0,0,0,502129.0
20100308,0,1,0,1,1,1,0,0,0,0,502114.0
20100309,0,1,0,1,1,1,0,0,0,0,502055.0
20100310,0,1,0,1,1,1,0,1,0,0,500934.0
20100311,0,1,0,1,1,1,0,1,0,0,503382.0
20100312,0,0,0,0,1,1,0,1,0,0,503415.0
20100315,0,0,0,0,1,1,0,1,0,0,503594.0
20100316,0,0,0,0,1,1,0,1,0,0,504572.0
20100317,0,0,0,0,1,0,0,1,0,0,504374.0
20100318,0,0,0,0,1,0,0,1,0,0,505770.0
20100319,0,0,0,0,1,0,0,1,0,0,505366.0
20100322,0,0,0,0,1,0,0,1,0,0,507162.0
20100323,0,0,0,0,1,0,0,1,0,0,508075.0
20100324,0,0,0,0,1,0,0,1,0,0,507093.0
20100325,0,1,0,0,1,0,0,1,0,0,509702.0
20100326,0,1,0,0,1,0,0,1,0,1,508804.0
20100329,0,0,0,0,1,0,0,1,0,1,507614.0
20100330,0,0,0,1,1,0,0,1,0,1,506892.0
20100331,0,0,0,1,1,0,1,1,0,1,507984.0
20100401,1,0,0,1,1,0,1,1,0,1,507922.0
20100402,1,0,0,1,1,0,1,1,0,1,508516.0
20100405,1,0,0,1,1,0,1,1,1,1,511480.0
20100406,1,0,0,1,1,0,1,1,1,1,512758.0
20100407,1,0,0,1,1,0,1,1,1,1,512050.0
20100408,1,0,1,0,1,0,1,1,1,0,511692.0
20100409,1,0,1,0,1,0,1,1,1,0,510686.0
20100412,1,0,1,0,1,0,1,1,1,0,510753.0
20100413,0,0,1,0,1,0,1,1,1,0,506445.0
20100414,0,0,1,0,1,0,1,1,1,0,506669.0
20100415,0,0,1,0,1,0,1,1,1,0,510320.0
20100416,0,0,0,0,1,1,1,1,1,0,504471.0
20100419,0,0,0,1,1,1,1,1,0,0,503300.0
20100420,0,0,0,1,1,1,1,1,0,0,503500.0
20100421,0,0,0,1,1,1,1,1,0,0,504673.0
20100422,0,0,0,1,1,1,1,1,0,0,504033.0
20100423,0,0,0,1,1,1,1,1,0,0,501782.0
20100426,0,0,0,1,1,1,1,1,0,0,501065.0
20100427,0,0,0,1,1,1,1,1,0,0,501938.0
20100428,0,1,0,0,1,1,1,1,0,1,499136.0
20100429,0,1,0,0,1,1,1,1,0,1,502732.0
20100430,0,0,0,0,1,1,0,1,0,1,503352.0
20100503,0,0,1,0,1,1,0,1,1,1,502700.0
20100504,0,0,1,0,1,0,0,1,0,1,499635.0
20100505,0,1,0,0,1,0,0,1,0,1,502078.0
20100506,1,1,0,0,1,0,0,1,0,1,509810.0
20100507,1,1,1,0,1,0,0,1,0,1,509013.0
20100510,1,1,0,0,1,0,0,1,0,1,502507.0
20100511,1,1,0,0,1,0,0,1,0,1,505170.0
20100512,1,1,1,0,1,0,0,1,1,1,506652.0
20100513,1,1,1,0,0,0,0,1,1,1,506736.0
20100514,1,1,1,0,0,0,0,1,0,1,510696.0
20100517,1,1,1,0,0,0,0,1,0,1,512025.0
20100518,1,1,0,0,0,1,1,1,0,1,513805.0
20100519,1,1,0,0,0,1,1,1,0,1,511042.0
20100520,1,1,0,0,0,1,1,0,0,1,512625.0
20100521,1,1,0,0,0,1,1,0,0,1,512544.0
20100524,1,1,0,0,0,1,1,0,0,1,514598.0
20100525,1,1,0,0,0,1,1,0,0,1,517863.0
20100526,1,1,0,0,0,1,1,0,0,1,515888.0
20100527,1,1,0,0,0,1,1,0,0,1,508889.0
20100528,1,1,0,0,0,1,1,0,0,1,511852.0
20100601,1,1,0,0,0,1,1,0,0,1,513887.0
20100602,1,1,0,0,0,1,1,0,0,1,513091.0
20100603,1,1,0,0,0,1,1,0,0,1,511130.0
20100604,1,1,0,0,1,1,1,0,0,1,520661.0
20100607,1,1,0,0,1,1,1,0,0,1,523691.0
20100608,1,1,0,0,1,1,1,0,0,1,522043.0
20100609,1,1,0,0,1,1,1,0,0,1,516716.0
20100610,0,1,0,0,1,1,1,0,0,1,512820.0
20100611,0,1,0,0,1,1,1,0,0,1,514365.0
20100614,0,1,0,1,1,1,1,1,0,1,516430.0
20100615,0,1,0,1,1,1,1,1,0,1,519543.0
20100616,0,1,0,1,1,1,0,1,0,1,517239.0
20100617,0,1,0,1,1,1,0,1,0,1,517898.0
20100618,0,1,0,1,1,1,0,1,0,1,516832.0
20100621,0,1,1,1,1,0,0,1,0,1,514148.0
20100622,0,1,0,1,1,0,1,1,0,1,513407.0
20100623,0,1,0,1,1,0,1,1,0,1,513584.0
20100624,0,1,0,1,1,0,1,1,0,1,516074.0
20100625,0,1,0,1,1,0,1,1,0,1,517228.0
20100628,0,1,0,1,1,0,1,1,0,1,515609.0
20100629,0,1,0,1,0,0,0,1,0,1,514023.0
20100630,0,1,0,1,0,0,0,1,0,1,515500.0
20100701,0,1,0,1,0,0,0,1,0,1,513159.0
20100702,0,1,0,1,0,0,0,1,0,1,511576.0
20100706,0,0,0,1,0,0,0,1,0,1,508693.0
20100707,0,0,1,1,0,0,0,1,0,1,510346.0
20100708,0,0,1,1,0,1,0,1,0,1,510872.0
20100709,0,0,0,1,0,1,0,1,0,1,509919.0
20100712,0,0,0,1,0,1,0,1,0,1,510767.0
20100713,0,0,0,1,0,1,0,1,0,1,511043.0
20100714,0,0,0,1,0,1,1,1,0,1,510581.0
20100715,0,1,0,1,1,1,1,1,0,1,513338.0
20100716,0,1,0,1,0,1,0,1,0,1,512340.0
20100719,0,1,0,1,0,1,0,1,0,1,511109.0
20100720,0,1,1,0,0,1,0,1,0,1,508355.0
20100721,0,1,1,0,0,1,0,1,0,1,507436.0
20100722,0,1,0,0,0,1,0,1,0,1,509085.0
20100723,0,1,0,0,0,1,0,1,0,1,508803.0
20100726,0,1,0,0,0,1,0,1,0,1,509406.0
20100727,0,1,0,0,0,1,0,1,0,1,508801.0
20100728,0,1,1,0,0,1,0,1,0,0,509834.0
20100729,0,1,1,0,0,1,0,1,0,0,511347.0
20100730,0,1,0,0,0,1,0,1,0,0,511450.0
20100802,0,1,0,0,0,1,1,1,0,1,513149.0
20100803,1,1,0,0,0,1,1,1,0,1,514594.0
20100804,1,1,0,0,0,1,1,1,0,1,513797.0
20100805,1,1,0,0,0,1,0,1,0,1,512489.0
20100806,1,1,0,0,0,1,0,1,0,1,513198.0
20100809,1,1,0,0,0,1,0,1,0,1,512345.0
20100810,0,1,0,0,0,1,0,1,0,1,510863.0
20100811,0,1,0,0,0,1,0,1,0,1,507002.0
20100812,0,1,0,0,0,1,0,1,0,1,507619.0
20100813,0,0,0,0,0,1,0,1,0,1,508220.0
20100816,1,0,0,0,0,1,0,1,0,1,508192.0
20100817,1,0,1,0,1,1,0,1,0,1,507906.0
20100818,1,0,1,0,1,1,0,1,0,1,508530.0
20100819,1,0,1,0,1,1,0,1,0,1,509905.0
20100820,1,0,1,0,1,1,0,1,0,1,510464.0
20100823,1,0,1,1,1,1,0,1,0,1,511117.0
20100824,1,0,0,0,1,0,0,1,0,1,510704.0
20100825,1,0,0,0,1,0,0,1,0,1,510864.0
20100826,1,0,1,0,1,0,0,1,1,1,509665.0
20100827,1,0,1,0,1,0,0,1,1,1,509282.0
20100830,1,0,1,0,1,0,0,1,1,1,509545.0
20100831,1,0,1,0,1,0,0,1,1,1,515461.0
20100901,1,0,1,0,1,0,0,1,1,1,513597.0
20100902,1,0,1,0,1,0,0,1,1,1,514630.0
20100903,1,0,1,0,1,0,0,1,1,0,513211.0
20100907,1,0,1,0,1,0,0,1,1,0,516188.0
20100908,1,0,1,1,1,0,0,1,1,0,516786.0
20100909,1,0,1,1,1,0,0,1,1,0,515968.0
20100910,1,0,1,0,1,0,0,1,1,0,511777.0
20100913,0,0,1,0,1,0,0,1,1,0,512850.0
20100914,0,0,1,0,1,0,0,1,1,0,517578.0
20100915,0,0,1,0,1,0,0,1,1,0,517078.0
20100916,0,0,1,0,1,0,0,1,1,0,518657.0
20100917,0,0,1,0,1,0,0,1,1,0,519778.0
20100920,0,0,1,0,1,1,0,1,1,0,522479.0
20100921,0,0,1,0,1,1,0,1,1,0,519259.0
20100922,0,0,1,0,1,1,0,1,1,0,523652.0
20100923,0,1,1,0,1,1,0,1,1,0,524031.0
20100924,0,1,1,0,1,1,0,1,1,0,531182.0
20100927,0,1,1,0,1,1,0,1,1,0,532797.0
20100928,0,1,1,0,1,1,0,1,1,0,535669.0
20100929,0,1,1,0,1,1,0,1,1,1,536343.0
20100930,0,1,1,0,1,1,0,1,1,1,535222.0
20101001,1,1,1,0,1,0,0,1,1,1,539669.0
20101004,1,1,1,0,1,0,0,1,1,1,538740.0
20101005,1,1,1,1,1,0,0,1,1,1,547341.0
20101006,1,1,1,0,1,0,0,1,1,1,549980.0
20101007,1,1,1,0,1,0,0,1,1,1,549071.0
20101008,1,1,1,0,1,0,1,1,1,1,553830.0
20101011,1,1,1,0,1,0,0,1,1,1,555687.0
20101012,1,1,1,0,1,1,0,1,1,1,555529.0
20101013,1,1,1,0,1,1,0,1,1,1,563025.0
20101014,1,1,1,0,1,1,0,1,1,1,568404.0
20101015,1,1,1,0,1,1,1,1,1,1,563971.0
20101018,1,1,1,0,1,1,1,1,1,1,568507.0
20101019,1,1,1,0,1,1,1,1,1,1,555495.0
20101020,1,1,1,0,1,1,1,1,1,1,563803.0
20101021,1,1,1,1,1,1,1,1,1,1,557424.0
