EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,-300.0,-4062.5,-1437.5,875.0,1000.0,-1437.5,-4400.0,0,0,2590.0,-3820.0,3250.8,0,-12500.0,0,0,-72.5,-287.5,-224.0,-4268.75,-1915.0,
20000229,500.0,-4062.5,-2862.5,265.62,765.62,-2112.5,-3137.5,0,0,5380.0,-4950.0,4137.0,-2800.0,-63800.0,-216000.0,162.5,-84.0,-287.5,257.6,-4268.75,-575.0,
20000331,1312.5,1250.0,-3737.5,200.0,590.62,-1675.0,-4512.5,840.0,0,1850.0,-4100.0,2260.0,-3710.0,-63800.0,-154050.0,762.5,-192.0,100.0,-464.4,-4268.75,-770.0,
20000428,7375.0,-6125.0,-1412.5,200.0,590.62,-2800.0,-7275.0,-16680.0,0,900.0,-2140.0,2260.0,-3710.0,-141300.0,-139050.0,562.5,-205.0,-387.5,-464.4,-6181.25,-2575.0,
20000531,4275.0,-6250.0,2000.0,200.0,90.62,-6006.25,-8400.0,-16680.0,0,-290.0,10010.0,46.6,-3460.0,-262600.0,-114050.0,212.5,-300.0,-1850.0,-386.0,-4306.25,-2140.0,
20000630,1350.0,-10412.5,725.0,418.75,-1381.25,-6475.0,-10287.5,-20130.0,0,3200.0,11210.0,4645.6,-5200.0,-281350.0,-119100.0,-137.5,-300.0,-1950.0,655.6,-2225.0,-5870.0,
20000731,1000.0,-10025.0,837.5,825.0,-1225.0,-5225.0,-11737.5,-24130.0,0,-1250.0,2600.0,1441.0,-5640.0,-282650.0,-103150.0,-200.0,-297.0,-1950.0,2806.0,-2481.25,-5640.0,
20000831,6137.5,-12175.0,3712.5,2012.5,-365.62,-3381.25,-9687.5,-22720.0,0,-170.0,2320.0,11122.0,-5530.0,-231400.0,-120650.0,-1012.5,-312.5,-3587.5,2985.2,-2425.0,-3930.0,
20000929,6525.0,-13950.0,2087.5,2153.12,118.75,-5525.0,-13412.5,-27780.0,0,-2450.0,6360.0,8543.2,-5010.0,-167650.0,-95700.0,-987.5,-361.5,-3537.5,1490.4,-3662.5,-5340.0,
20001031,10850.0,-12987.5,3887.5,2637.5,259.38,-6181.25,-14762.5,-21360.0,0,1060.0,-600.0,10526.0,-3960.0,-291450.0,-66200.0,-987.5,-301.0,-3537.5,549.6,-6487.5,-4755.0,
20001130,8112.5,-10962.5,4037.5,4965.62,1681.25,-3368.75,-8825.0,-5960.0,0,330.0,3640.0,9665.0,-4650.0,-291450.0,-56200.0,-987.5,-321.5,-3175.0,-631.6,-5212.5,-3005.0,
20001229,5625.0,-7737.5,1200.0,6793.75,3134.38,-1400.0,-9500.0,-2850.0,0,-3790.0,35500.0,4512.0,-4570.0,-361450.0,5300.0,-250.0,-380.0,-2725.0,-631.6,-2906.25,-6040.0,
