Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,96578.0
20000104,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,74644.0
20000105,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,95597.0
20000106,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,82989.0
20000107,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,84302.0
20000110,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,69303.0
20000111,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,63606.0
20000112,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,121806.0
20000113,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,97780.0
20000114,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,116386.0
20000118,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,127602.0
20000119,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,170661.0
20000120,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,147062.0
20000121,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,150234.0
20000124,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,101574.0
20000125,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,67698.0
20000126,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,65012.0
20000127,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,70540.0
20000128,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,42827.0
20000131,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,72991.0
20000201,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,57603.0
20000202,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,2534.0
20000203,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,9002.0
20000204,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,15035.0
20000207,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,-114648.0
20000208,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,-107816.0
20000209,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,-54607.0
20000210,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,15042.0
20000211,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,-35923.0
