CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,5656.25,0,1237.5,0,825.0,-8100.0,3248.0,70.0,-2213.8,
20100226,-6045.0,8481.25,0,2812.5,0,-3025.0,-8875.0,-1738.6,-1475.0,-2213.8,
20100331,-6045.0,9943.75,0,-2562.5,5160.0,-1025.0,-15050.0,5429.4,-5550.0,-2213.8,
20100430,-11390.0,12618.75,2830.0,-2562.5,5540.0,-4150.0,-9250.0,8856.6,-5550.0,-2353.97,
20100528,-7230.0,25456.25,6010.0,-2562.5,1910.0,-4150.0,-17190.0,11007.0,-9445.0,5989.78,
20100630,-7810.0,25868.75,9100.0,24831.25,-4785.0,-4150.0,-28665.0,5693.0,-17290.0,14005.4,
20100730,-10760.0,19031.25,3675.0,36587.5,-6510.0,4437.5,-28665.0,11337.8,-23195.0,17802.28,
20100831,-11505.0,19031.25,3675.0,37150.0,-5320.0,3462.5,-28665.0,11942.6,-24325.0,25677.28,
20100930,-11505.0,22200.0,7705.0,42325.0,-4600.0,17975.0,-32340.0,28104.2,-12380.0,26942.9,
20101029,-14265.0,26112.5,12505.0,34375.0,-2770.0,35712.5,-25980.0,47054.6,1335.0,27646.03,
20101130,-15300.0,19206.25,15205.0,32518.75,-5235.0,36762.5,-29420.0,41779.4,19350.0,24430.4,
20101231,-11260.0,19206.25,18735.0,47256.25,-5235.0,59262.5,-33400.0,57134.6,32975.0,35960.9,
20110131,-20350.0,19206.25,9730.0,48868.75,-12725.0,60762.5,-18840.0,63350.6,12600.0,33804.65,
20110228,-21070.0,19206.25,2320.0,58112.5,-14685.0,49775.0,-33720.0,51683.6,21890.0,36898.4,
20110331,-12100.0,23706.25,-8900.0,55281.25,-19375.0,49775.0,-39920.0,51683.6,42230.0,34502.0,
20110429,-5450.0,40756.25,26050.0,67581.25,-19375.0,49775.0,-37920.0,60822.8,95680.0,36079.5,
20110531,-17645.0,21268.75,19870.0,57187.5,-19555.0,49775.0,-20560.0,56656.4,28625.0,64673.25,
