Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,1,0,0,0,0,0,1,0,1,499056.0
20100105,0,1,0,0,0,0,0,1,0,1,498944.0
20100106,0,1,0,0,0,0,0,1,0,1,499528.0
20100107,0,1,0,0,0,0,0,1,0,1,500444.0
20100108,0,1,0,0,0,0,0,1,0,1,498430.0
20100111,0,1,0,0,0,0,0,1,0,1,496331.0
20100112,0,1,0,0,0,0,0,1,0,1,496596.0
20100113,0,1,0,0,0,0,0,1,0,1,497429.0
20100114,0,1,0,0,0,0,0,1,0,1,496856.0
20100115,0,1,0,0,0,0,0,1,0,0,497574.0
20100119,0,1,0,0,0,0,5,1,0,0,500723.0
20100120,0,1,0,0,0,0,5,1,0,0,503393.0
20100121,0,1,0,0,0,0,5,1,0,0,502461.0
20100122,0,1,0,0,0,0,5,1,0,0,500399.0
20100125,0,1,0,0,0,0,5,1,0,0,498078.0
20100126,0,1,0,0,0,0,5,1,0,0,495431.0
20100127,0,1,0,0,0,0,5,1,0,0,494728.0
20100128,0,1,0,2,0,2,5,1,1,0,496342.0
20100129,0,1,0,2,0,2,5,1,1,0,500723.0
20100201,0,1,0,2,0,2,0,1,1,0,493966.0
20100202,0,1,0,2,0,2,0,1,1,0,489823.0
20100203,0,1,0,2,0,2,0,1,1,0,495197.0
20100204,0,1,0,2,0,2,0,1,1,0,501629.0
20100205,1,1,0,2,0,2,0,1,1,0,505940.0
20100208,1,1,0,2,0,2,0,1,1,0,501947.0
20100209,1,1,0,2,0,2,0,1,1,0,497663.0
20100210,1,1,0,2,0,2,0,1,1,0,495187.0
20100211,1,1,0,2,0,2,0,1,1,0,494111.0
20100212,1,1,0,2,0,2,0,1,1,0,495514.0
20100216,1,1,0,2,0,2,0,1,1,0,485101.0
20100217,1,1,0,2,0,2,0,1,1,0,487417.0
20100218,0,1,0,2,0,2,0,1,1,0,487361.0
20100219,0,1,0,2,0,2,0,1,1,0,484741.0
20100222,0,1,0,2,0,2,0,0,1,0,486519.0
20100223,0,1,0,2,0,2,0,0,1,0,489951.0
20100224,0,1,0,2,0,2,0,0,1,0,488541.0
20100225,0,1,0,2,0,2,5,0,1,0,491741.0
20100226,0,1,0,2,0,2,5,0,1,0,487921.0
20100301,0,1,0,2,0,2,5,0,1,0,488619.0
20100302,0,1,0,2,0,2,5,0,1,0,483781.0
20100303,0,1,0,2,0,2,5,0,0,0,483546.0
20100304,0,1,0,2,0,2,5,0,0,0,488484.0
20100305,0,1,0,2,0,2,5,0,0,0,486921.0
20100308,0,1,0,2,0,2,5,0,0,0,484921.0
20100309,0,1,0,2,0,2,5,0,0,0,483609.0
