ES,
20100129,-1162.5,
20100226,-900.0,
20100331,-612.5,
20100430,-612.5,
20100528,-3337.5,
20100630,-4925.0,
20100730,-5325.0,
20100831,-5325.0,
20100930,-5387.5,
20101029,-5387.5,
20101130,-5475.0,
20101231,-5475.0,
20110131,-5475.0,
20110228,-4212.5,
20110331,-2600.0,
20110429,-3425.0,
20110531,-1937.5,
20110630,-2000.0,
20110729,-3700.0,
20110831,-475.0,
20110930,2462.5,
20111031,-387.5,
20111130,-1237.5,
20111230,-2150.0,
20120131,-2587.5,
20120229,-1925.0,
20120330,-150.0,
20120430,-1075.0,
20120531,-3712.5,
20120629,-3712.5,
20120731,-2475.0,
20120831,-1187.5,
20120928,-1812.5,
20121031,-1150.0,
20121130,362.5,
20121231,1200.0,
20130131,2562.5,
20130228,2562.5,
20130328,2812.5,
20130430,2812.5,
20130531,2812.5,
20130628,6212.5,
20130731,6200.0,
20130830,6750.0,
20130930,5175.0,
20131031,6912.5,
20131129,8037.5,
20131231,9150.0,
20140131,9512.5,
20140228,9512.5,
20140331,10225.0,
20140430,10987.5,
20140530,11362.5,
20140630,12000.0,
20140731,12000.0,
20140829,12000.0,
20140930,12712.5,
20141031,7850.0,
20141128,7850.0,
20141231,5062.5,
20150130,5687.5,
20150227,6550.0,
20150331,5737.5,
20150430,5212.5,
20150529,5212.5,
20150630,5525.0,
20150731,6125.0,
20150831,-3712.5,
20150930,-175.0,
20151030,-3300.0,
20151130,-5737.5,
20151231,-4500.0,
20160129,-2037.5,
20160229,75.0,
20160331,2025.0,
20160429,2025.0,
20160531,3612.5,
20160630,3850.0,
20160729,3850.0,
20160831,4325.0,
20160930,7450.0,
20161031,7625.0,
20161130,8400.0,
20161230,8237.5,
20170131,9937.5,
20170228,10512.5,
20170331,7650.0,
20170428,7625.0,
20170531,8387.5,
20170630,9225.0,
20170731,9225.0,
20170831,9862.5,
20170929,10137.5,
20171031,10137.5,
20171130,10125.0,
20171229,10550.0,
20180131,10912.5,
20180228,7125.0,
20180329,9775.0,
20180430,10375.0,
20180531,10725.0,
20180629,11650.0,
20180731,12750.0,
20180831,12112.5,
20180928,11412.5,
20181031,6362.5,
20181130,-1250.0,
20181231,-3487.5,
20190131,-6137.5,
20190228,-7987.5,
20190329,-7987.5,
20190430,-7987.5,
20190531,-9512.5,
20190628,-9512.5,
20190731,-7725.0,
20190830,-12637.5,
20190930,-11712.5,
20191031,-9550.0,
20191129,-9550.0,
20191231,-7137.5,
20200131,-6412.5,
20200228,-16512.5,
20200331,-16200.0,
20200430,-16475.0,
20200529,-16787.5,
20200630,-19212.5,
20200731,-19212.5,
20200831,-19212.5,
20200930,-20850.0,
20201030,-22587.5,
20201130,-14550.0,
20201231,-10450.0,
20210129,-10012.5,
20210226,-8362.5,
20210331,-4225.0,
20210430,-4225.0,
20210528,2225.0,
20210630,3362.5,
20210730,6375.0,
20210831,9475.0,
20210930,8775.0,
20211029,11200.0,
20211130,10687.5,
20211231,14862.5,
20220131,6912.5,
20220228,7675.0,
20220331,3300.0,
