Date,ES,
20100104,0,100000
20100105,0,100000
20100106,0,100000
20100107,0,100000
20100108,0,100000
20100111,0,100000
20100112,0,100000
20100113,0,100000
20100114,0,100000
20100115,0,100000
20100119,0,100000
20100120,0,100000
20100121,0,100000
20100122,1,99162.0
20100125,1,99238.0
20100126,1,98975.0
20100127,1,99338.0
20100128,1,98575.0
20100129,0,98838.0
20100201,0,98838.0
20100202,0,98838.0
20100203,0,98838.0
20100204,0,98838.0
20100205,1,98862.0
20100208,1,98675.0
20100209,1,99188.0
20100210,0,99100.0
20100211,0,99100.0
20100212,0,99100.0
20100216,0,99100.0
20100217,0,99100.0
20100218,0,99100.0
20100219,0,99100.0
20100222,0,99100.0
20100223,0,99100.0
20100224,0,99100.0
20100225,0,99100.0
20100226,0,99100.0
20100301,0,99100.0
20100302,0,99100.0
20100303,0,99100.0
20100304,0,99100.0
20100305,0,99100.0
20100308,0,99100.0
20100309,0,99100.0
20100310,0,99100.0
20100311,0,99100.0
20100312,0,99100.0
20100315,0,99100.0
20100316,0,99100.0
20100317,0,99100.0
20100318,0,99100.0
20100319,0,99100.0
20100322,0,99100.0
20100323,0,99100.0
20100324,0,99100.0
20100325,0,99100.0
20100326,1,99262.0
20100329,0,99388.0
20100330,0,99388.0
20100331,0,99388.0
20100401,0,99388.0
20100405,0,99388.0
20100406,0,99388.0
20100407,0,99388.0
20100408,0,99388.0
20100409,0,99388.0
20100412,0,99388.0
20100413,0,99388.0
20100414,0,99388.0
20100415,0,99388.0
20100416,0,99388.0
20100419,0,99388.0
20100420,0,99388.0
20100421,0,99388.0
20100422,0,99388.0
20100423,0,99388.0
20100426,0,99388.0
20100427,0,99388.0
20100428,0,99388.0
20100429,0,99388.0
20100430,0,99388.0
20100503,0,99388.0
20100504,0,99388.0
20100505,0,99388.0
20100506,1,97775.0
20100507,1,97000.0
20100510,1,99475.0
20100511,0,98900.0
20100512,0,98900.0
20100513,0,98900.0
20100514,0,98900.0
20100517,1,99438.0
20100518,1,98650.0
20100519,1,98212.0
20100520,1,96212.0
20100521,1,96938.0
20100524,0,96662.0
20100525,0,96662.0
20100526,0,96662.0
20100527,0,96662.0
20100528,0,96662.0
20100601,0,96662.0
20100602,0,96662.0
20100603,0,96662.0
20100604,0,96662.0
20100607,0,96662.0
20100608,0,96662.0
20100609,0,96662.0
20100610,0,96662.0
20100611,0,96662.0
20100614,1,97138.0
20100615,1,95988.0
20100616,1,95975.0
20100617,1,95862.0
20100618,1,95938.0
20100621,0,95075.0
20100622,0,95075.0
20100623,0,95075.0
20100624,0,95075.0
20100625,0,95075.0
20100628,0,95075.0
20100629,0,95075.0
20100630,0,95075.0
20100701,0,95075.0
20100702,0,95075.0
20100706,0,95075.0
20100707,0,95075.0
20100708,1,94950.0
20100709,1,94675.0
20100712,1,94475.0
20100713,1,93812.0
20100714,1,93750.0
20100715,0,93688.0
20100716,0,93688.0
20100719,0,93688.0
20100720,0,93688.0
20100721,1,94738.0
20100722,0,93975.0
20100723,0,93975.0
20100726,1,93575.0
20100727,1,93500.0
20100728,1,93950.0
20100729,1,94200.0
20100730,0,94675.0
20100802,0,94675.0
20100803,0,94675.0
20100804,0,94675.0
20100805,0,94675.0
20100806,0,94675.0
20100809,0,94675.0
20100810,0,94675.0
20100811,0,94675.0
20100812,0,94675.0
20100813,0,94675.0
20100816,0,94675.0
20100817,0,94675.0
20100818,0,94675.0
20100819,0,94675.0
20100820,0,94675.0
20100823,0,94675.0
20100824,0,94675.0
20100825,0,94675.0
20100826,0,94675.0
20100827,0,94675.0
20100830,0,94675.0
20100831,0,94675.0
20100901,0,94675.0
20100902,1,94325.0
20100903,1,93625.0
20100907,1,94238.0
20100908,1,93838.0
20100909,1,93688.0
20100910,0,93475.0
20100913,0,93475.0
20100914,0,93475.0
20100915,0,93475.0
20100916,0,93475.0
20100917,0,93475.0
20100920,0,93475.0
20100921,0,93475.0
20100922,0,93475.0
20100923,1,93488.0
20100924,1,94625.0
20100927,0,94612.0
20100928,0,94612.0
20100929,0,94612.0
20100930,0,94612.0
20101001,0,94612.0
20101004,0,94612.0
20101005,0,94612.0
20101006,0,94612.0
20101007,0,94612.0
20101008,0,94612.0
20101011,0,94612.0
20101012,0,94612.0
20101013,0,94612.0
20101014,0,94612.0
