CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,5659.15,0,0,0,0,0,3248.0,0,-2229.24,
20100226,0,8484.15,0,322.59,0,-2062.5,0,-1763.6,0,-2229.24,
20100331,0,9946.65,0,-2389.91,5160.69,-1062.5,0,1825.0,0,-2229.24,
20100430,0,12621.65,0,-2389.91,5540.69,-2650.0,190.0,3538.6,0,-2229.24,
20100528,3292.6,25459.15,-5050.0,-2389.91,1910.69,-2650.0,-1820.0,4613.8,0,-276.11,
20100630,2712.6,25871.65,-5050.0,253.84,-4739.31,-2650.0,-4132.09,1931.8,0,2395.76,
20100730,-237.4,19009.15,-5050.0,4172.59,-4739.31,212.89,-4132.09,3253.4,0,3661.39,
20100831,-1007.4,19009.15,-5050.0,4360.09,-4459.31,-112.11,-4132.09,3455.0,0,6286.39,
20100930,-1007.4,21849.67,-3470.0,6085.09,-3739.31,4725.39,-4132.09,8842.2,9380.0,6708.26,
20101029,-1007.4,25762.17,1330.0,3185.09,-1909.31,10637.89,-3432.09,15159.0,23095.0,6942.64,
20101130,-1007.4,18830.92,4030.0,1328.84,-4399.31,10987.89,-4292.09,13400.6,41110.0,5845.76,
20101231,-1007.4,18830.92,7560.0,16066.34,-4399.31,18487.89,-5312.09,18519.0,54735.0,6048.89,
20110131,-1007.4,18830.92,-46.56,17678.84,-4399.31,18987.89,-3488.98,20591.0,34335.0,5689.51,
20110228,-2091.25,18830.92,-3686.56,26922.59,-4399.31,15300.39,-5348.98,16677.0,29460.0,6205.14,
20110331,6878.75,18830.92,-8224.09,24091.34,-4399.31,15300.39,-6148.98,16677.0,49800.0,5780.74,
20110429,13528.75,18830.92,-3654.09,36391.34,-4399.31,15300.39,-6148.98,17539.4,103250.0,5780.74,
20110531,1308.75,18830.92,-5714.09,25972.59,-4399.31,15300.39,-4938.98,16497.8,36170.0,8296.36,
20110630,170.48,18830.92,-9114.09,25972.59,-4399.31,15300.39,-7658.98,14210.48,36170.0,8015.11,
20110729,-3749.52,18830.92,-9534.09,25972.59,-4399.31,15300.39,-7658.98,18096.88,36170.0,11374.49,
20110831,-13866.18,18830.92,10515.91,25972.59,-6079.31,15300.39,-7658.98,17951.28,36170.0,15686.99,
20110930,-12378.43,22018.42,-6304.09,22651.04,-1569.31,20650.39,-7658.98,15392.48,31105.0,16749.49,
20111031,-18918.43,14680.92,-6304.09,15851.04,-2309.31,19187.89,-9078.98,15392.48,20975.0,14464.84,
20111130,-17944.72,14680.92,-6304.09,15851.04,2950.69,23487.89,-10168.98,14709.28,20975.0,14464.84,
20111230,-23974.72,15568.98,-7158.15,15851.04,8940.69,20137.89,-10168.98,15146.08,20975.0,14464.84,
20120131,-23974.72,14081.48,-11358.15,15851.04,14200.69,18825.39,-10168.98,13628.88,20975.0,14464.84,
20120229,-23974.72,11075.23,-11358.15,15682.29,14470.69,20543.64,-10168.98,13628.88,15917.32,14464.84,
20120330,-23974.72,11075.23,-11358.15,23482.29,20300.69,24693.64,-9756.32,13628.88,15917.32,13511.71,
20120430,-23974.72,11075.23,-11358.15,25432.29,19590.69,29981.14,-8146.32,13764.95,15917.32,12556.61,
20120531,-16274.72,15700.23,-8248.53,32519.79,17200.69,22793.64,-9496.32,15668.95,24841.1,14564.95,
20120629,-14374.72,12125.23,-12248.53,29426.04,16971.17,22793.64,-10086.32,12897.35,25786.1,14002.45,
20120731,-17174.72,16562.73,-12848.53,27744.79,21001.17,31981.14,-10086.32,12897.35,24276.1,15283.7,
20120831,-20884.72,13850.23,-12848.53,27744.79,15771.17,37756.14,-10086.32,12897.35,26066.1,13764.18,
20120928,-20884.72,13262.73,-5218.53,27744.79,15771.17,27756.14,-10086.32,12897.35,41741.1,13764.18,
20121031,-21474.72,14575.23,-10698.53,27744.79,14491.17,27756.14,-10086.32,12897.35,30436.1,13764.18,
20121130,-23714.72,11268.98,-13658.53,30013.54,13041.17,26193.64,-10010.29,12897.35,24861.1,13764.18,
20121231,-25074.72,11268.98,-14677.16,32563.54,13041.17,22693.64,-10490.29,12897.35,23526.1,13764.18,
20130131,-23537.09,13612.69,-13087.16,27244.79,12695.82,22693.64,-9880.29,12897.35,14729.83,13764.18,
20130228,-29527.09,8181.44,-4697.16,25920.26,11805.82,22693.64,-9970.29,12897.35,16794.83,12360.21,
20130329,-29527.09,8181.44,-6257.16,28189.01,11355.82,22693.64,-9370.29,12897.35,17339.83,12360.21,
20130430,-34587.09,8181.44,6102.84,29820.26,14175.82,22693.64,-9970.29,12897.35,38239.83,12907.09,
20130531,-34587.09,8181.44,14092.84,25945.26,10115.82,23568.64,-10330.29,13132.55,47949.83,10623.29,
20130628,-34587.09,4331.44,31022.84,29226.51,10715.84,23006.14,-9150.29,13031.75,61944.83,13279.54,
20130731,-35867.09,4331.44,22132.84,24245.26,11935.84,20731.14,-9640.29,12975.75,61154.83,13404.54,
20130830,-33107.09,1940.58,18212.84,24245.26,10985.84,21206.14,-7920.29,12903.35,47110.69,14388.92,
20130930,-37587.09,1046.83,18212.84,24245.26,9675.84,17418.64,-6400.29,12903.35,47110.69,13230.44,
20131031,-36087.09,1859.33,18212.84,24845.26,9675.84,17418.64,-5380.29,11581.75,47110.69,13477.86,
20131129,-31777.09,-290.67,18422.55,23945.26,9675.84,17418.64,-6990.29,11016.55,47110.69,12759.11,
20131231,-39117.09,-290.67,23232.55,22489.01,9045.84,17418.64,-6650.29,10808.46,48423.79,11707.81,
20140131,-39117.09,-290.67,16622.55,22489.01,6075.84,17418.64,-7320.29,11771.66,42043.79,11707.81,
20140228,-38817.09,-290.67,15314.21,38276.51,10985.84,19493.64,-5836.16,10612.86,36988.98,11707.81,
20140331,-43877.09,-2265.67,11564.21,37376.51,8575.84,21993.64,813.84,10612.86,31920.5,11707.81,
20140430,-43877.09,-3128.17,11564.21,46995.26,12835.84,24618.64,-806.16,10612.86,31920.5,11707.81,
20140530,-43877.09,-3128.17,11564.21,37532.76,9135.84,23643.64,-3556.16,10612.86,26848.37,11598.43,
20140630,-44857.09,-4526.67,11564.21,37532.76,9135.84,21431.14,-3556.16,10612.86,26848.37,11254.68,
20140731,-48587.09,-701.67,11564.21,37532.76,11655.84,24956.14,-3556.16,11419.26,22337.8,9953.56,
20140829,-50578.19,2510.83,11564.21,37532.76,9835.84,27843.64,-1446.16,12505.66,21782.8,10036.66,
