Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,1,0,0,0,0,0,1,0,1,99068.0
20100105,0,1,0,0,0,0,0,1,0,1,98956.0
20100106,0,1,0,0,0,0,0,1,0,1,99540.0
20100107,0,1,0,0,0,0,0,1,0,1,100456.0
20100108,0,1,0,0,0,0,0,1,0,1,98442.0
20100111,0,1,0,0,0,0,0,1,0,1,96344.0
20100112,0,1,0,0,0,0,0,1,0,1,96608.0
20100113,0,1,0,0,0,0,0,1,0,1,97442.0
20100114,0,1,0,0,0,0,0,1,0,1,96869.0
20100115,0,1,0,0,0,0,0,1,0,0,97562.0
20100119,0,1,0,0,0,0,0,1,0,0,100310.0
20100120,0,1,0,0,0,0,0,1,0,0,102731.0
20100121,0,1,0,0,0,0,0,1,0,0,103199.0
20100122,0,1,0,0,0,0,0,1,0,0,101986.0
20100125,0,1,0,0,0,0,0,1,0,0,102916.0
20100126,0,1,0,0,0,0,0,1,0,0,103368.0
20100127,0,1,0,0,0,0,0,1,0,0,102916.0
20100128,0,1,0,0,0,0,0,1,0,0,104270.0
20100129,0,1,0,0,0,0,0,1,0,0,106678.0
20100201,0,1,0,0,0,0,0,1,0,0,105059.0
20100202,0,1,0,0,0,1,0,1,0,0,104068.0
20100203,0,1,0,0,0,1,0,1,0,0,104900.0
20100204,0,1,0,0,0,1,0,1,0,0,105709.0
20100205,0,1,0,0,0,1,0,1,0,0,104563.0
20100208,0,1,0,0,0,1,0,1,0,0,104732.0
20100209,0,1,0,0,0,1,0,1,0,0,103621.0
20100210,0,1,0,0,0,1,0,1,0,0,103239.0
20100211,0,1,0,0,0,1,0,1,0,0,104536.0
20100212,0,1,0,1,0,1,0,1,0,0,103822.0
20100216,0,1,0,1,0,1,0,1,0,0,101099.0
20100217,0,1,0,1,0,1,0,1,0,0,102636.0
20100218,0,1,0,1,0,1,0,1,0,0,103546.0
20100219,0,1,0,1,0,1,0,1,0,0,102785.0
20100222,0,1,0,1,0,1,0,0,0,0,102476.0
20100223,0,1,0,1,0,1,0,0,0,0,103920.0
20100224,0,1,0,1,0,1,0,0,0,0,103145.0
20100225,0,1,0,1,0,1,0,0,0,0,104851.0
20100226,0,1,0,1,0,1,0,0,0,0,102751.0
20100301,0,1,0,1,0,1,0,0,0,0,103370.0
20100302,0,1,0,1,0,1,0,0,0,0,102414.0
20100303,0,1,0,1,0,1,0,0,0,0,101464.0
20100304,0,1,0,1,0,1,0,0,0,0,104714.0
20100305,0,1,0,1,0,1,0,0,0,0,104064.0
20100308,0,1,0,1,0,1,0,0,0,0,103389.0
20100309,0,1,0,1,0,1,0,0,0,0,103220.0
20100310,0,1,0,1,0,1,0,1,0,0,102074.0
20100311,0,1,0,1,0,1,0,1,0,0,103332.0
20100312,0,1,0,1,0,1,0,1,0,0,102428.0
20100315,0,1,0,1,1,1,0,1,0,0,103633.0
20100316,0,1,0,1,1,1,0,1,0,0,102936.0
20100317,0,1,0,1,1,1,0,1,0,0,102607.0
20100318,0,1,0,1,1,1,0,1,0,0,104847.0
20100319,0,1,0,1,1,1,0,1,0,0,106462.0
20100322,0,1,0,1,1,1,0,1,0,0,107333.0
20100323,0,1,0,1,1,1,0,1,0,0,108377.0
20100324,0,1,0,1,1,1,0,1,0,0,110301.0
20100325,0,1,0,1,1,1,0,1,0,0,112623.0
20100326,0,1,0,1,1,1,0,1,0,0,111900.0
20100329,0,1,0,0,1,1,0,1,0,0,108838.0
20100330,0,1,0,0,1,1,0,1,0,0,108353.0
20100331,0,1,0,0,1,1,0,1,0,0,111251.0
20100401,0,1,0,0,1,1,0,1,0,0,107920.0
20100402,0,1,0,0,1,1,0,1,0,0,107920.0
20100405,0,1,0,0,1,1,0,1,0,0,107983.0
20100406,0,1,0,0,1,1,0,1,0,0,111027.0
20100407,0,1,0,0,1,1,0,1,0,0,111770.0
20100408,0,1,0,0,1,1,0,1,0,0,113201.0
20100409,0,1,0,0,1,1,0,1,0,0,108990.0
20100412,0,1,0,0,1,1,0,1,0,0,107979.0
20100413,0,1,0,0,1,1,0,1,0,0,105254.0
20100414,0,1,0,0,1,0,0,1,0,0,103573.0
20100415,0,1,0,0,1,0,0,1,0,0,107474.0
20100416,0,1,0,0,1,0,0,1,0,0,108842.0
20100419,0,1,0,0,1,0,1,1,0,0,108885.0
20100420,0,1,0,0,1,0,1,1,0,0,109529.0
20100421,0,1,0,0,1,0,1,1,0,0,110795.0
20100422,0,1,0,0,1,0,1,1,0,0,110981.0
20100423,0,1,0,0,1,0,1,1,0,0,108005.0
20100426,0,1,0,0,1,0,1,1,0,0,107663.0
20100427,0,1,0,0,1,0,1,1,0,0,111185.0
20100428,0,1,0,0,1,0,1,1,0,0,110722.0
20100429,0,1,0,0,1,0,1,1,0,0,113730.0
20100430,0,1,0,0,1,0,1,1,0,0,114622.0
20100503,0,1,0,0,1,0,1,1,0,0,115425.0
20100504,0,1,0,0,1,0,1,1,0,0,118296.0
20100505,0,1,0,0,1,0,1,1,0,0,119876.0
20100506,0,1,0,0,1,0,1,1,0,1,124724.0
20100507,0,1,0,0,1,0,1,1,0,1,122398.0
20100510,0,1,0,0,1,0,1,1,0,1,119351.0
20100511,0,1,0,0,1,0,1,1,0,1,121514.0
20100512,0,1,1,0,1,0,1,1,0,1,120922.0
20100513,1,1,1,0,1,0,1,1,0,1,119138.0
20100514,1,1,1,0,1,0,1,1,0,1,125103.0
20100517,1,1,1,0,1,0,0,1,0,1,124902.0
20100518,1,1,1,0,1,0,0,1,0,1,126788.0
20100519,1,1,1,0,1,0,0,1,0,1,123924.0
20100520,1,1,0,0,1,0,0,1,0,1,124700.0
20100521,1,1,0,0,1,0,0,1,0,1,124790.0
20100524,1,1,0,0,1,0,0,1,0,1,127625.0
20100525,1,1,0,0,1,0,0,1,0,1,129802.0
20100526,1,1,0,0,1,0,0,1,0,1,127529.0
20100527,1,1,0,0,1,0,0,1,0,1,120650.0
20100528,1,1,0,0,1,0,0,1,0,1,123090.0
20100601,1,1,0,0,1,0,0,1,0,1,125703.0
20100602,1,1,0,0,1,0,0,1,0,1,123597.0
20100603,1,1,0,0,0,0,0,1,0,1,121975.0
20100604,1,1,0,0,0,0,0,1,0,1,128212.0
20100607,1,1,0,0,0,0,1,1,0,1,129203.0
20100608,1,1,0,0,0,0,1,1,0,1,127819.0
20100609,1,1,0,0,0,0,1,1,0,1,124114.0
20100610,1,1,0,0,0,0,1,1,0,1,119859.0
20100611,1,1,0,0,0,0,1,1,0,1,121800.0
