CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,-5050.0,4462.5,-740.0,506.25,-5050.0,2275.0,-720.0,2699.2,2875.0,0,
20100226,-10110.0,6856.25,-5060.0,1293.75,-4670.0,350.0,900.0,-3416.0,2385.0,-46.88,
20100331,-9850.0,8318.75,-5060.0,-562.5,4740.0,1350.0,1440.0,2184.8,2385.0,-1281.25,
20100430,-8890.0,10993.75,-1690.0,431.25,5120.0,-937.5,2890.0,3898.4,4995.0,-4568.75,
20100528,-7560.0,17375.0,-2660.0,825.0,1490.0,-4625.0,690.0,4973.6,-7740.0,-1787.5,
20100630,-8140.0,16137.5,-3290.0,5618.75,-480.0,-5075.0,-1400.0,2386.4,-7740.0,884.38,
20100730,-11090.0,12556.25,-9030.0,9537.5,2880.0,-5575.0,-2800.0,4878.8,-7740.0,2150.0,
20100831,-17650.0,7268.75,-12780.0,12937.5,830.0,-5900.0,-4480.0,5080.4,-7740.0,4443.18,
20100930,-22600.0,10993.75,-8290.0,10837.5,1550.0,-1837.5,-3340.0,10283.2,3700.0,4865.05,
20101029,-22600.0,14687.5,-3860.0,9681.25,2840.0,4075.0,-3260.0,16516.4,14640.0,5099.43,
20101130,-27650.0,10231.25,2130.0,15331.25,3030.0,1650.0,-4120.0,14758.0,24495.0,3880.68,
20101231,-26200.0,4612.5,-2920.0,22781.25,-5670.0,3875.0,-5350.0,19876.4,20365.0,5221.3,
20110131,-32710.0,-443.75,-3220.0,17837.5,-8510.0,4375.0,-2760.0,21948.4,14365.0,4861.93,
20110228,-39270.0,-81.25,-7970.0,26018.75,-10510.0,1487.5,-4620.0,24004.0,16760.0,5377.55,
20110331,-30300.0,4343.75,-6630.0,32662.5,-13160.0,-7150.0,-9970.0,23768.8,29935.0,2905.68,
20110429,-24660.0,11406.25,4480.0,32775.0,-14150.0,-7150.0,-6450.0,27330.4,58195.0,5015.05,
20110531,-40400.0,1956.25,2420.0,27606.25,-19970.0,-7150.0,-4280.0,26288.8,50345.0,7874.43,
20110630,-40340.0,1956.25,-980.0,19212.5,-25020.0,-7137.5,-4440.0,24782.8,50345.0,7593.18,
20110729,-40300.0,-3100.0,10900.0,18206.25,-25340.0,-12212.5,-6090.0,28406.4,40220.0,10952.55,
20110831,-25490.0,-5412.5,16970.0,16843.75,-24680.0,-14987.5,-8890.0,23058.8,31865.0,15167.03,
20110930,-25490.0,-3900.0,6820.0,9612.5,-20170.0,-17175.0,-5620.0,20668.0,55190.0,16229.53,
