Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,1,0,0,100146.0
20100105,0,0,0,0,0,0,0,1,0,0,100168.0
20100106,0,0,0,0,0,0,0,1,0,0,101030.0
20100107,0,0,0,0,1,0,0,1,0,0,97881.0
20100108,0,0,0,0,1,0,0,1,0,0,96785.0
20100111,1,0,0,0,0,0,0,1,0,0,93121.0
20100112,1,0,0,0,0,0,0,1,0,0,92074.0
20100113,0,0,0,0,0,0,1,1,0,0,90796.0
20100114,0,0,0,0,0,0,1,1,0,0,90692.0
20100115,0,0,0,0,0,0,1,1,0,0,90676.0
20100119,0,0,0,0,0,0,1,1,0,0,92549.0
20100120,0,1,0,0,0,1,1,1,0,0,94619.0
20100121,0,1,0,0,0,1,1,1,0,0,94607.0
20100122,0,1,0,0,0,1,1,1,0,0,93350.0
20100125,0,1,0,0,0,1,1,1,0,0,94180.0
20100126,0,1,0,0,0,1,1,1,1,0,93187.0
20100127,0,1,0,0,0,1,1,1,1,0,95709.0
20100128,0,1,1,1,0,1,1,1,1,0,97454.0
20100129,0,1,1,1,0,1,1,1,1,0,101258.0
20100201,0,1,1,1,0,1,1,1,1,0,94002.0
20100202,0,1,1,1,0,1,1,1,1,0,90744.0
20100203,0,1,1,1,0,1,1,1,1,0,94865.0
20100204,0,1,1,1,0,1,1,1,0,0,106483.0
20100205,1,0,1,1,0,1,1,1,1,0,109017.0
20100208,1,0,1,1,0,1,1,1,1,0,105569.0
20100209,1,0,1,1,0,1,1,1,1,0,101330.0
20100210,1,0,1,1,0,1,1,1,1,0,99588.0
20100211,0,0,1,1,0,1,1,1,1,0,95996.0
20100212,0,1,1,1,0,1,1,1,1,0,95918.0
20100216,0,1,1,1,0,1,1,1,0,0,86501.0
20100217,0,1,0,1,0,1,1,1,0,0,87667.0
20100218,0,1,0,1,0,1,1,1,0,0,88998.0
20100219,0,1,0,1,0,1,1,1,0,0,87996.0
20100222,0,1,0,1,0,1,1,1,0,0,87496.0
20100223,0,1,0,1,1,1,1,1,0,0,88677.0
20100224,0,1,0,1,1,1,1,1,0,0,88329.0
20100225,0,1,0,1,1,1,1,1,0,0,90941.0
20100226,0,1,0,1,1,1,1,1,0,1,88482.0
20100301,0,1,0,1,1,1,1,1,0,1,89836.0
20100302,0,1,0,1,1,1,1,1,0,1,88049.0
20100303,0,1,0,1,1,1,1,1,0,1,87686.0
20100304,0,1,0,1,1,1,1,1,0,1,93255.0
20100305,0,1,0,1,1,1,1,1,0,1,91214.0
20100308,0,1,0,1,1,1,1,1,0,1,91608.0
20100309,0,1,0,1,1,1,1,1,0,1,92980.0
20100310,0,1,0,1,1,1,1,1,0,1,91866.0
20100311,0,1,0,1,1,1,1,1,0,1,94030.0
20100312,0,1,0,1,1,1,1,1,0,1,93781.0
20100315,0,1,0,1,1,1,1,1,0,1,95359.0
20100316,0,1,0,1,1,1,1,1,0,1,95102.0
20100317,0,1,0,1,1,1,1,1,0,1,94902.0
20100318,0,1,0,1,0,1,1,1,0,1,96766.0
20100319,0,1,0,1,1,1,1,1,0,1,98397.0
20100322,0,1,0,1,1,1,1,1,0,1,99490.0
20100323,0,1,0,1,1,1,1,0,0,1,99886.0
20100324,0,1,0,1,1,1,1,1,0,1,100233.0
20100325,0,1,0,1,1,1,1,1,0,1,101528.0
20100326,0,1,0,1,1,1,1,1,0,1,101091.0
20100329,0,1,0,1,1,1,1,1,0,1,99099.0
20100330,0,1,0,1,1,1,1,1,0,1,99175.0
20100331,1,1,0,1,1,1,1,1,0,1,103665.0
20100401,1,1,0,1,1,1,1,1,0,1,101003.0
