CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,5656.25,0,618.75,0,412.5,-1620.0,3248.0,70.0,-2188.8,
20100226,-6020.0,8481.25,0,1406.25,0,-1512.5,-1750.0,-1713.6,-1475.0,-2188.8,
20100331,-6020.0,9943.75,0,-1256.25,5160.0,-512.5,-2960.0,1870.4,-5525.0,-2188.8,
20100430,-11340.0,12618.75,2830.0,-1256.25,5540.0,-2050.0,-1510.0,3584.0,-5525.0,-2235.52,
20100528,-7180.0,25456.25,6010.0,-1256.25,1910.0,-2050.0,-3470.0,4659.2,-9420.0,545.73,
20100630,-7760.0,25868.75,9100.0,7875.0,-4760.0,-2050.0,-5740.0,2027.2,-17240.0,3217.6,
20100730,-10710.0,19056.25,3700.0,11793.75,-6460.0,812.5,-5740.0,3908.8,-23120.0,4483.23,
20100831,-11430.0,19056.25,3700.0,11981.25,-5270.0,487.5,-5740.0,4110.4,-24225.0,7108.23,
20100930,-11430.0,22225.0,7730.0,13706.25,-4550.0,5325.0,-6940.0,9497.6,-12280.0,7530.1,
20101029,-14190.0,26137.5,12530.0,13031.25,-2720.0,11237.5,-5350.0,15814.4,1435.0,7764.48,
20101130,-15200.0,19256.25,15230.0,11175.0,-5160.0,11587.5,-6210.0,14056.0,19450.0,6717.6,
20101231,-13180.0,19256.25,18760.0,25912.5,-5160.0,19087.5,-7180.0,19174.4,33075.0,8639.35,
20110131,-17700.0,19256.25,11200.0,27525.0,-8880.0,19587.5,-5360.0,21246.4,12725.0,8279.98,
20110228,-18420.0,19256.25,7520.0,36768.75,-9860.0,15950.0,-7220.0,17382.4,22015.0,8795.6,
20110331,-9450.0,21506.25,2300.0,33937.5,-12180.0,15950.0,-7970.0,17382.4,42355.0,8421.2,
20110429,-2800.0,30031.25,13950.0,46237.5,-12180.0,15950.0,-7720.0,19667.2,95805.0,8578.95,
20110531,-14970.0,20312.5,11890.0,35868.75,-12200.0,15950.0,-5550.0,18625.6,28775.0,11438.33,
20110630,-16110.0,20312.5,8490.0,31518.75,-15100.0,16087.5,-8220.0,16385.6,28775.0,11157.08,
20110729,-16070.0,15125.0,12130.0,41287.5,-15100.0,13412.5,-8220.0,20272.0,28775.0,14516.45,
20110831,-9050.0,15125.0,32180.0,32625.0,-15790.0,13050.0,-8220.0,20126.4,18900.0,18828.95,
20110930,780.0,22281.25,15410.0,24281.25,-11280.0,14512.5,-8120.0,17617.6,21400.0,19891.45,
