Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,1,0,0,0,0,0,1,0,1,99056.0
20100105,0,1,0,0,0,0,0,1,0,1,98944.0
20100106,0,1,0,0,0,0,0,1,0,1,99528.0
20100107,0,1,0,0,0,0,0,1,0,1,100444.0
20100108,0,1,0,0,0,0,0,1,0,1,98430.0
20100111,0,1,0,0,0,0,0,1,0,1,96331.0
20100112,0,1,0,0,0,0,0,1,0,1,96596.0
20100113,0,1,0,0,0,0,0,1,0,1,97429.0
20100114,0,1,0,0,0,0,0,1,0,1,96856.0
20100115,0,1,0,0,0,0,0,1,0,0,97599.0
20100119,0,1,0,0,0,0,1,1,0,0,100428.0
20100120,0,1,0,0,0,0,1,1,0,0,102898.0
20100121,0,1,0,0,0,0,1,1,0,0,103086.0
20100122,0,1,0,0,0,0,1,1,0,0,101704.0
20100125,0,1,0,0,0,0,1,1,0,0,101983.0
20100126,0,1,0,0,0,0,1,1,0,0,101816.0
20100127,0,1,0,0,0,0,1,1,0,0,101313.0
20100128,0,1,0,1,0,1,1,1,1,0,102492.0
20100129,0,1,0,1,0,1,1,1,1,0,106197.0
20100201,0,1,0,1,0,1,0,1,1,0,101631.0
20100202,0,1,0,1,0,1,0,1,1,0,99213.0
20100203,0,1,0,1,0,1,0,1,1,0,102943.0
20100204,0,1,0,1,0,1,0,1,1,0,109132.0
20100205,1,1,0,1,0,1,0,1,1,0,112387.0
20100208,1,1,0,1,0,1,0,1,1,0,109887.0
20100209,1,1,0,1,0,1,0,1,1,0,105260.0
20100210,1,1,0,1,0,1,0,1,1,0,104108.0
20100211,1,1,0,1,0,1,0,1,1,0,103251.0
20100212,1,1,0,1,0,1,0,1,1,0,104998.0
20100216,1,1,0,1,0,1,0,1,1,0,95891.0
20100217,1,1,0,1,0,1,0,1,1,0,97357.0
20100218,0,1,0,1,0,1,0,1,1,0,97808.0
20100219,0,1,0,1,0,1,0,1,1,0,95281.0
20100222,0,1,0,1,0,1,0,0,1,0,95978.0
20100223,0,1,0,1,0,1,0,0,1,0,99091.0
20100224,0,1,0,1,0,1,0,0,1,0,98056.0
20100225,0,1,0,1,0,1,1,0,1,0,99013.0
20100226,0,1,0,1,0,1,1,0,1,0,95228.0
20100301,0,1,0,1,0,1,1,0,1,0,96126.0
20100302,0,1,0,1,0,1,1,0,1,0,92065.0
20100303,0,1,0,1,0,1,1,0,0,0,90180.0
20100304,0,1,0,1,0,1,1,0,0,0,93410.0
20100305,0,1,0,1,0,1,1,0,0,0,92600.0
20100308,0,1,0,1,0,1,1,0,0,0,91765.0
20100309,0,1,0,1,0,1,1,0,0,0,91486.0
20100310,0,1,0,1,0,1,1,1,0,0,90396.0
20100311,0,1,0,1,0,1,1,1,0,0,91464.0
20100312,0,1,0,1,0,1,1,1,0,0,90800.0
20100315,0,1,0,1,1,1,1,1,0,0,91684.0
20100316,0,1,0,1,1,1,1,1,0,0,90927.0
20100317,0,1,0,1,1,1,1,1,0,0,90728.0
20100318,0,1,0,1,1,1,1,1,0,0,93058.0
20100319,0,1,0,1,1,1,1,1,0,0,95123.0
20100322,0,1,0,1,1,1,1,1,0,0,95904.0
20100323,0,1,0,1,1,1,1,1,0,0,96328.0
20100324,0,1,0,1,1,1,1,1,0,0,98052.0
20100325,0,1,0,1,1,1,1,1,0,0,99894.0
20100326,0,1,0,1,1,1,0,1,0,0,99111.0
20100329,0,1,0,0,1,1,0,1,0,0,96099.0
20100330,0,1,0,0,1,1,1,1,0,0,95644.0
20100331,0,1,0,0,1,1,1,1,0,0,98512.0
20100401,0,1,0,0,1,1,1,1,0,0,95521.0
20100402,0,1,0,0,1,1,1,1,0,0,95521.0
20100405,1,1,0,0,1,1,1,1,0,0,96984.0
20100406,1,1,0,0,1,1,1,1,0,0,100248.0
20100407,1,1,1,0,1,1,1,1,0,0,99951.0
20100408,1,1,1,0,1,1,1,1,0,0,101072.0
20100409,1,1,1,0,1,1,1,1,0,0,96871.0
20100412,1,1,1,0,1,1,1,1,0,0,95160.0
20100413,1,1,1,0,1,1,1,1,0,0,92095.0
20100414,1,1,1,0,1,0,1,1,0,0,92654.0
20100415,1,1,1,0,1,0,1,1,0,0,96885.0
20100416,1,1,1,0,1,0,1,1,0,0,93573.0
20100419,1,1,1,0,1,0,1,1,0,0,91816.0
20100420,1,1,1,0,1,0,1,1,0,0,93520.0
20100421,1,1,1,0,1,0,1,1,0,0,95576.0
20100422,0,1,1,0,1,0,1,1,0,0,93282.0
20100423,0,1,1,0,1,0,1,1,0,0,91386.0
20100426,0,1,1,0,1,0,1,1,0,0,91074.0
20100427,0,1,1,0,1,0,1,1,0,0,95416.0
20100428,0,1,1,0,1,0,1,1,0,0,95913.0
20100429,0,1,1,0,1,0,1,1,0,0,98621.0
20100430,0,1,1,0,1,0,1,1,0,1,100656.0
20100503,0,1,1,0,1,0,1,1,0,1,101297.0
20100504,0,1,1,0,1,0,1,1,0,1,103415.0
20100505,0,1,1,0,1,0,1,1,0,1,106105.0
20100506,1,1,1,0,1,0,1,1,0,1,110977.0
20100507,1,1,1,0,1,0,1,1,0,1,111960.0
20100510,1,1,1,0,1,0,1,1,0,1,106264.0
20100511,1,1,1,0,1,0,1,1,1,1,111272.0
20100512,1,1,1,0,1,0,1,1,1,1,114414.0
20100513,1,1,1,0,1,0,1,1,1,1,113488.0
20100514,1,1,1,0,1,0,1,1,1,1,118083.0
20100517,1,1,1,0,1,0,0,1,1,1,116102.0
