"AD",100000,0.0001,Aus.Dol
"BO",600,0.01,BeanOil
"BP",62500,0.0001,B.Pound
"CL",1000,0.01,Crude
"C2",50,0.25,Corn
"C_",50,0.25,Corn
"C1",50,0.25,Corn
"CC",10,1,Cocoa
"CD",100000,0.0001,Can.Dol
"CL",1000,0.01,Crude
"CT",500,0.01,Cotton
"CU",125000,0.00005,EuroCur
"EC",125000,0.00005,EuroCur
"DX",1000,0.005,Dol.Indx
"ED",2500,0.005,EuroDol
"EM",100,0.1,MiniDow
"ES",50,0.25,MiniES
"ES2",50,0.25,MiniESD
"FC",500,0.025,FCattle
"FV",1000,0.0071825,FiveYr
"GC",100,0.1,Gold
"HG",250,0.05,Copper
"HO",42000,0.0001,H.Oil
"JY",125000,0.00005,J.Yen
"KC",375,0.05,Coffee
"KW",50,0.25,KWWheat
"LB",110,0.1,Lumber
"LC",400,0.025,LCattle
"LH",400,0.025,LHogs
"MP",500000,0.00001,Peso
"NQ",20,0.25,MiniNQ
"NG",10000,0.001,Nat.Gas
"O2",50,0.25,Oats
"OJ",150,0.05,Juice
"PA",100,0.05,Pallad.
"PL",50,0.10,Plat.
"QG",2500,0.005,MiniNG
"QM",500,0.025,MiniCL
"RB",42000,0.0001,RBOB
"RR",2000,0.005,R.Rice
"S2",50,0.25,SoyBean
"S_",50,0.25,SoyBean
"SB",1120,0.01,Sugar
"SF",125000,0.0001S.Franc
"SI",50,0.5,Silver
"SM",100,0.1,SoyMeal
"SP",500,0.1,S&P500
"ES",50,0.25,MiniES
"TF",100,0.10,MiniTF
"US",1000,0.0313,30YrBnd
"TU",2000,0.0071825,TwoYr
"TY",1000,0.0156,TenYr
"W2",50,0.25,Wheat
"W_",50,0.25,Wheat
"MBTC",5,5.00,Micro_Bitcoin
